"module","name"
"turquoise","Signalling & isoprenoid metab."
"blue","Translation & ribosome"
"brown","Defence & ubiquitin signalling"
"green","Photosynthesis (light rxn)"
"yellow","Metal transport & phenylpropanoid"
"grey","Unassigned"
