"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005840","ribosome","79/1004","80/2446",0.9875,2.40580179282869,10.6656020175234,2.11022049678019e-30,2.25793593155481e-28,1.3952822287123e-28,"eL20y/uL29w/eS26y/P1x/ATRGP1/PGY2/eL32z/eL18y/ATRPS5B/uS10y/ARP1/eL43z/eL28z/AT-HSC70-1/eS31y/LTA2/eS19x/eL15z/BGLU44/uL15x/eS24y/ATGSL1/eS7z/emb2171/Cpn60beta2/DECOY/uS4y/eS12y/uS14x/eL30z/ATL5/eS10z/uL24z/GOX1/uL30w/eS1y/eL27x/eL37z/eL37x/eL24z/P3z/RPL23A2/eL8y/uL1x/RACK1B/RPS9M/RPL3P/eL22z/ATBBC1/eS8y/RPL12C/uL10z/eL31x/API2/uL1z/uS8w/uS9z/ATRPS13A/SAC56/eL34z/uS5y/MUD1/P2w/eS28y/eS4x/uL13w/eL38y/ATGLN1;1/eL33y/uL2x/eL36y/eL6x/ARC2/HSP60/uS12y/EMB3003/eL31z/eL14y/eL39x",79
"GO:0022626","cytosolic ribosome","77/1004","78/2446",0.987179487179487,2.40502094187353,10.5211426194055,1.34374827172062e-29,7.18905325370533e-28,4.44244591087854e-28,"eL20y/uL29w/eS26y/P1x/ATRGP1/PGY2/eL32z/eL18y/ATRPS5B/uS10y/ARP1/eL43z/eL28z/AT-HSC70-1/eS31y/LTA2/eS19x/eL15z/BGLU44/uL15x/eS24y/ATGSL1/eS7z/emb2171/Cpn60beta2/uS4y/eS12y/uS14x/eL30z/ATL5/eS10z/uL24z/GOX1/uL30w/eS1y/eL27x/eL37z/eL37x/eL24z/P3z/RPL23A2/eL8y/uL1x/RACK1B/RPS9M/eL22z/ATBBC1/eS8y/RPL12C/uL10z/eL31x/API2/uL1z/uS8w/uS9z/ATRPS13A/SAC56/eL34z/uS5y/MUD1/P2w/eS28y/eS4x/uL13w/eL38y/ATGLN1;1/eL33y/uL2x/eL36y/eL6x/ARC2/HSP60/uS12y/EMB3003/eL31z/eL14y/eL39x",77
"GO:1990904","ribonucleoprotein complex","73/1004","75/2446",0.973333333333333,2.37128818061089,10.0627630273523,1.23998479226411e-26,4.42261242574198e-25,2.73293517140267e-25,"eL20y/uL29w/eS26y/P1x/NOP56/PGY2/eL32z/eL18y/ATRPS5B/uS10y/ARP1/eL43z/eL28z/eS31y/eS19x/eL15z/uL15x/eS24y/PAB4/eS7z/emb2171/DECOY/uS4y/eS12y/uS14x/eL30z/ATL5/eS10z/uL24z/uL30w/eS1y/eL27x/eL37z/eL37x/eL24z/EBP2/RPL23A2/eL8y/uL1x/RPS9M/RPL3P/eL22z/ATBBC1/eS8y/NA/RPL12C/uL10z/eL31x/API2/uL1z/uS8w/uS9z/ATRPS13A/TEL1/SAC56/eL34z/uS5y/P2w/eS28y/eS4x/ATFIB2/AtCBF5/uL13w/eL38y/eL33y/uL2x/eL36y/eL6x/NA/uS12y/eL31z/eL14y/eL39x",73
"GO:0044391","ribosomal subunit","65/1004","66/2446",0.984848484848485,2.39934202583605,9.61459565349624,8.35585350571542e-25,2.23519081277888e-23,1.38122697604791e-23,"eL20y/uL29w/eS26y/P1x/PGY2/eL32z/eL18y/ATRPS5B/uS10y/ARP1/eL43z/eL28z/eS31y/eS19x/eL15z/uL15x/eS24y/eS7z/emb2171/DECOY/uS4y/eS12y/uS14x/eL30z/ATL5/eS10z/uL24z/uL30w/eS1y/eL27x/eL37z/eL37x/eL24z/RPL23A2/eL8y/uL1x/RPS9M/RPL3P/eL22z/ATBBC1/eS8y/RPL12C/uL10z/eL31x/API2/uL1z/uS8w/uS9z/ATRPS13A/SAC56/eL34z/uS5y/P2w/eS28y/eS4x/uL13w/eL38y/eL33y/uL2x/eL36y/eL6x/uS12y/eL31z/eL14y/eL39x",65
"GO:0043228","membraneless organelle","167/1004","230/2446",0.726086956521739,1.76893296379699,10.2209479634553,2.29448022391603e-24,4.09182306598359e-23,2.52852524609528e-23,"eL20y/TUB1/uL29w/ATCPN21/Kin7.4/NA/NA/eS26y/NA/P1x/ATRGP1/OST1b/TUA5/NOP56/PGY2/ELIP/eL32z/ATPDI10/AtUGT85A2/DRN1/eL18y/ATRPS5B/AtMORC4/PLAT2/DCT/uS10y/ARP1/eL43z/TUB6/eL28z/AT-HSC70-1/eS31y/LTA2/AB140/AtJMJ17/eS19x/eL15z/EDA38/BGLU44/uL15x/eS24y/ATGSL1/CGR2/ENR1/PAB4/eS7z/LHCB3/emb2171/Cpn60beta2/DECOY/TUA2/h2a.w.7/AVMA10/uS4y/eS12y/H2B/uS14x/CSI1/ATPDI5/ATXIK/eL30z/ATL5/eS10z/ATHD2/ATXR6/uL24z/GOX1/uL30w/eS1y/AtCLO3/ATPHB3/eL27x/LNG2/TUB8/NA/eL37z/iqd2/eL37x/AtFBA8/ATFER1/eL24z/EBP2/ACT7/P3z/HMGB4/RPL23A2/F6'H1/HD2C/eL8y/PSAT2/uL1x/RACK1B/RPS9M/GAPC-2/RPL3P/eL22z/PGRL1A/ATHSP70/AtSSI2/ATBBC1/AOS/FSD2/eS8y/IQD32/NA/MCM10/RPL12C/MCM6/uL10z/mL102/eL31x/API2/uL1z/uS8w/ATRHM1/uS9z/MCM4/ATRPS13A/SAC56/eL34z/ACT3/H3.1/NA/uS5y/AtSAMS3/MUD1/P2w/NA/CESA6/h2a.w.12/AtGLDP1/AtMORC7/ACO4/eS28y/TUB3/eS4x/ATFIB2/AtCBF5/ATBFRUCT1/uL13w/DiT1/eL38y/ATGLN1;1/eL33y/uL2x/ATRPA70B/ATFKBP53/EMB1144/AtPRX71/G-H2AX/eL36y/QWRF7/MCM3/WDL4/eL6x/ARC2/HSP60/LPD1/NA/AtSAM2/uS12y/EMB3003/CAS1/eL31z/BIP/eL14y/eL39x",167
"GO:0043232","intracellular membraneless organelle","167/1004","230/2446",0.726086956521739,1.76893296379699,10.2209479634553,2.29448022391603e-24,4.09182306598359e-23,2.52852524609528e-23,"eL20y/TUB1/uL29w/ATCPN21/Kin7.4/NA/NA/eS26y/NA/P1x/ATRGP1/OST1b/TUA5/NOP56/PGY2/ELIP/eL32z/ATPDI10/AtUGT85A2/DRN1/eL18y/ATRPS5B/AtMORC4/PLAT2/DCT/uS10y/ARP1/eL43z/TUB6/eL28z/AT-HSC70-1/eS31y/LTA2/AB140/AtJMJ17/eS19x/eL15z/EDA38/BGLU44/uL15x/eS24y/ATGSL1/CGR2/ENR1/PAB4/eS7z/LHCB3/emb2171/Cpn60beta2/DECOY/TUA2/h2a.w.7/AVMA10/uS4y/eS12y/H2B/uS14x/CSI1/ATPDI5/ATXIK/eL30z/ATL5/eS10z/ATHD2/ATXR6/uL24z/GOX1/uL30w/eS1y/AtCLO3/ATPHB3/eL27x/LNG2/TUB8/NA/eL37z/iqd2/eL37x/AtFBA8/ATFER1/eL24z/EBP2/ACT7/P3z/HMGB4/RPL23A2/F6'H1/HD2C/eL8y/PSAT2/uL1x/RACK1B/RPS9M/GAPC-2/RPL3P/eL22z/PGRL1A/ATHSP70/AtSSI2/ATBBC1/AOS/FSD2/eS8y/IQD32/NA/MCM10/RPL12C/MCM6/uL10z/mL102/eL31x/API2/uL1z/uS8w/ATRHM1/uS9z/MCM4/ATRPS13A/SAC56/eL34z/ACT3/H3.1/NA/uS5y/AtSAMS3/MUD1/P2w/NA/CESA6/h2a.w.12/AtGLDP1/AtMORC7/ACO4/eS28y/TUB3/eS4x/ATFIB2/AtCBF5/ATBFRUCT1/uL13w/DiT1/eL38y/ATGLN1;1/eL33y/uL2x/ATRPA70B/ATFKBP53/EMB1144/AtPRX71/G-H2AX/eL36y/QWRF7/MCM3/WDL4/eL6x/ARC2/HSP60/LPD1/NA/AtSAM2/uS12y/EMB3003/CAS1/eL31z/BIP/eL14y/eL39x",167
"GO:0032991","protein-containing complex","142/1004","199/2446",0.71356783919598,1.7384332018659,9.06692191139986,1.75564027021667e-19,2.68362155590263e-18,1.65833291069592e-18,"eL20y/uL29w/CBE1/Kin7.4/HSP70/TOM40/NA/eS26y/P1x/ATPHB6/OST1b/AR192/VHA-A3/TUA5/NOP56/PGY2/PNET1/eL32z/eL18y/ATRPS5B/ATVHA-C/uS10y/ARP1/eL43z/eL28z/eS31y/LTA2/AtJMJ17/eS19x/eL15z/NA/uL15x/eS24y/AtHsp90-6/ENR1/PAB4/eS7z/LHCB3/FAS1/emb2171/DECOY/DEL3/TUA2/h2a.w.7/AVMA10/uS4y/ATSYP52/eS12y/NA/NA/uS14x/MCU3/CSI1/PDF1/eL30z/ATL5/eS10z/uL24z/uL30w/eS1y/ATPHB3/eL27x/TUB8/eL37z/NA/eL37x/CYCD4;1/eL24z/EBP2/ACLB-2/RPL23A2/AtHip1/gamma2-COP/ATHS83/eL8y/AtHsp90.5/uL1x/AtCDC20.1/RPS9M/RPL3P/eL22z/ATBBC1/FSD2/NA/eS8y/IQD32/ATG13B/NA/NA/RPL12C/MCM6/NA/uL10z/eL31x/NA/API2/uL1z/uS8w/uS9z/ENO2/beta1-COP/MCM4/MGE1/ATRPS13A/TEL1/SAC56/eL34z/uS5y/MUD1/P2w/CESA6/h2a.w.12/AtGLDP1/eS28y/ATNPSN11/TUB3/eS4x/ATFIB2/AtCBF5/uL13w/ATPCNA2/eL38y/eL33y/uL2x/ATRPA70B/NA/G-H2AX/eL36y/MCM3/AthA2-1/eL6x/LPD1/NA/ATVAMP713/uS12y/AtHsp90.4/HAP6/EMB3003/eL31z/BIP/eL14y/eL39x",142
"GO:0015934","large ribosomal subunit","44/1004","44/2446",1,2.43625498007968,8.02038178925213,5.46917900553431e-18,7.31502691990214e-17,4.52029082014889e-17,"eL20y/uL29w/P1x/PGY2/eL32z/eL18y/ARP1/eL43z/eL28z/eL15z/uL15x/emb2171/DECOY/eL30z/ATL5/uL24z/uL30w/eL27x/eL37z/eL37x/eL24z/RPL23A2/eL8y/uL1x/RPL3P/eL22z/ATBBC1/RPL12C/uL10z/eL31x/API2/uL1z/SAC56/eL34z/P2w/uL13w/eL38y/eL33y/uL2x/eL36y/eL6x/eL31z/eL14y/eL39x",44
"GO:0022625","cytosolic large ribosomal subunit","42/1004","42/2446",1,2.43625498007968,7.83272030955698,3.41752666999668e-17,4.0630594854405e-16,2.51075090971795e-16,"eL20y/uL29w/P1x/PGY2/eL32z/eL18y/ARP1/eL43z/eL28z/eL15z/uL15x/emb2171/eL30z/ATL5/uL24z/uL30w/eL27x/eL37z/eL37x/eL24z/RPL23A2/eL8y/uL1x/eL22z/ATBBC1/RPL12C/uL10z/eL31x/API2/uL1z/SAC56/eL34z/P2w/uL13w/eL38y/eL33y/uL2x/eL36y/eL6x/eL31z/eL14y/eL39x",42
"GO:0005618","cell wall","121/1004","170/2446",0.711764705882353,1.73404030935083,8.27717046369669,1.71866869272011e-16,1.83897550121051e-15,1.13638735272239e-15,"ATXYN1/XTH7/SAP2/NA/ATRGP1/BGAL6/LAC3/MCO3/TUA5/NOP56/ATPDI10/Prx66/NA/ATRPS5B/AtSAM1/uS10y/ATCTIMC/ARP1/eL28z/AT-HSC70-1/RHS18/NA/ATPAP10/BGLU44/eS24y/AtHsp90-6/AtKTI5/PER64/PER72/FLA1/eS7z/ATEXP11/TUA2/ATVDAC2/HSC70-5/MPT3/AHB1/NA/ATXYL1/NA/UNE11/NA/GASA1/AtBGAL5/ATHD2/AtPAE6/ATRNS1/eS1y/CASP3/NA/GOXL3/LRX2/NA/AtFBA8/ATCHITIV/ATAD3A1/ACT7/ATPME3/AtSEOR1/AtPAE12/PER7/NA/sks5/AtBGAL10/RHS13/ATEXP4/PRX44/ATHS83/NA/GASA10/PGX3/NA/GAPC-2/AtBG3/NA/ATHSP70/PER3/ATBBC1/CEP1/BGAL3/eL31x/uS8w/uS9z/DGR2/PME53/XTH23/SAC56/ACT3/COB/NA/uS5y/AtSAMS3/PMEI13/XET/AtBBE28/eS28y/TUB3/AthD-1/ATBXL4/ATBFRUCT1/RUBY/NA/CASP4/ATGLN1;1/UGD3/SKU5/AtPRX71/AthA2-1/PER57/ROPGAP3/AtSAM2/EXGT-A4/XTH8/AtHsp90.4/NA/HAP6/ATCNX1/BIP/AtXTH32/Prx47/ATSBT1.1",121
