"gene","module"
"Gohir.A05G318401","blue"
"Gohir.A09G094600","brown"
"Gohir.A09G089100","turquoise"
"Gohir.D03G038900","grey"
"Gohir.D09G094400","brown"
"Gohir.A04G020000","turquoise"
"Gohir.D10G179800","turquoise"
"Gohir.A08G164800","turquoise"
"Gohir.D13G038900","brown"
"Gohir.A04G019900","turquoise"
"Gohir.D10G180000","turquoise"
"Gohir.D05G366400","turquoise"
"Gohir.D06G129600","turquoise"
"Gohir.D10G061200","turquoise"
"Gohir.D09G204900","blue"
"Gohir.D11G347000","turquoise"
"Gohir.A07G176300","turquoise"
"Gohir.D11G008600","brown"
"Gohir.A08G022500","turquoise"
"Gohir.D08G141501","brown"
"Gohir.A04G019400","turquoise"
"Gohir.A10G173500","turquoise"
"Gohir.D11G295000","turquoise"
"Gohir.D10G226800","turquoise"
"Gohir.A06G078800","brown"
"Gohir.A05G282800","turquoise"
"Gohir.A11G025800","blue"
"Gohir.D11G025651","blue"
"Gohir.D08G227100","blue"
"Gohir.A04G019500","turquoise"
"Gohir.D11G279100","turquoise"
"Gohir.A12G024200","brown"
"Gohir.D08G183400","turquoise"
"Gohir.D10G056600","brown"
"Gohir.D09G096300","brown"
"Gohir.A09G126100","turquoise"
"Gohir.D06G042200","turquoise"
"Gohir.D03G172100","turquoise"
"Gohir.D11G008500","brown"
"Gohir.D10G008600","turquoise"
"Gohir.A09G096500","brown"
"Gohir.D01G108400","brown"
"Gohir.A08G062000","brown"
"Gohir.D08G131700","brown"
"Gohir.A09G211400","blue"
"Gohir.D02G021500","turquoise"
"Gohir.D05G257900","blue"
"Gohir.A08G210400","turquoise"
"Gohir.D10G132401","grey"
"Gohir.A12G235400","brown"
"Gohir.D05G315400","brown"
"Gohir.D05G061200","brown"
"Gohir.A12G156000","blue"
"Gohir.A05G313900","brown"
"Gohir.A12G177900","brown"
"Gohir.D12G180300","brown"
"Gohir.D11G025500","blue"
"Gohir.A03G028900","brown"
"Gohir.A08G120800","brown"
"Gohir.D08G201000","blue"
"Gohir.D08G141800","brown"
"Gohir.D05G364600","brown"
"Gohir.A08G100100","brown"
"Gohir.D06G080301","brown"
"Gohir.D02G154700","brown"
"Gohir.A05G247720","turquoise"
"Gohir.D06G047000","yellow"
"Gohir.A03G153400","brown"
"Gohir.D04G028200","turquoise"
"Gohir.D07G021700","brown"
"Gohir.D09G030800","turquoise"
"Gohir.A10G044400","brown"
"Gohir.A08G078800","turquoise"
"Gohir.A09G047200","turquoise"
"Gohir.D11G007200","turquoise"
