"module","r_Flight","p_Flight","r_AVPOX","p_AVPOX","r_A68","p_A68","r_D130","p_D130","r_total_length_native","p_total_length_native","r_primary_length_native","p_primary_length_native","r_n_lateral","p_n_lateral"
"MEblue",-0.829,5.73e-07,-0.08,0.71,0.017,0.936,-0.097,0.651,-0.83,5.14e-07,-0.541,0.00638,-0.814,1.27e-06
"MEgreen",-0.301,0.152,0.177,0.409,-0.092,0.668,0.269,0.204,-0.213,0.318,0.043,0.843,-0.186,0.384
"MEyellow",0.323,0.124,-0.047,0.826,0.134,0.532,-0.182,0.396,0.347,0.0966,0.241,0.257,0.351,0.0928
"MEbrown",0.659,0.00046,-0.43,0.0361,-0.247,0.245,-0.183,0.392,0.408,0.0476,-0.186,0.385,0.332,0.112
"MEturquoise",0.892,4.84e-09,0.055,0.8,-0.024,0.911,0.079,0.715,0.859,7.96e-08,0.497,0.0134,0.832,4.66e-07
"MEgrey",-0.094,0.662,0.281,0.183,-0.248,0.243,0.529,0.00788,-0.064,0.767,0.059,0.783,-0.056,0.794
