"Regulation","Ensembl ID","log2 Fold Change","Adj.Pval","baseMean","pvalue"
"Up","Gohir.D03G008800",21.0351,5.6244450008032e-32,67.73,1.13873603028895e-36
"Down","Gohir.D08G012900",-3.1062,2.63002513848606e-17,139.85,1.06495996861276e-21
"Down","Gohir.D11G278100",-1.6912,6.50006761928056e-15,551.22,3.94804884552998e-19
"Down","Gohir.A07G200800",-1.9883,9.4069504586775e-14,247.43,7.61819765037051e-18
"Down","Gohir.A02G086200",-2.4813,2.51022838128971e-13,298.15,2.5411285038971e-17
"Up","Gohir.D01G077300",1.5744,4.67913681152267e-13,127.39,5.68408261846777e-17
"Up","Gohir.A01G092800",1.3754,5.07873388862462e-13,135.64,8.2260024111186e-17
"Down","Gohir.D05G289200",-1.9433,5.07873388862462e-13,167.49,8.18419908728819e-17
"Down","Gohir.A02G075100",-1.6629,9.47230473308674e-13,118.87,1.72600304903184e-16
"Down","Gohir.A05G231000",-2.6299,1.16885127937982e-12,155.6,2.3664789427029e-16
"Down","Gohir.A12G128400",-2.0125,1.5640962038816e-12,218.24,3.80003936803109e-16
"Down","Gohir.D02G219600",-1.4949,1.5640962038816e-12,223.96,3.62561637014279e-16
"Down","Gohir.A01G065400",-3.9944,2.87087056934782e-12,112.62,7.5561462183191e-16
"Down","Gohir.A11G136500",-4.9378,3.74304088381541e-12,138.34,1.06095263146695e-15
"Down","Gohir.A10G053700",-1.6806,8.55116957955112e-12,431.25,2.59692953703569e-15
"Down","Gohir.A02G034600",-3.1511,1.24333331896175e-11,258.02,4.02764275659781e-15
"Down","Gohir.D13G001600",-4.6376,2.09178577717961e-11,97.42,7.199619009567e-15
"Down","Gohir.D05G387900",-3.9234,2.37967085735644e-11,67.91,8.67226988832521e-15
"Down","Gohir.D05G233500",-2.1907,3.68125887701505e-11,155.29,1.41609812648376e-14
"Down","Gohir.A10G128900",-3.1165,6.25186779703815e-11,150.18,2.5315305300608e-14
"Up","Gohir.D12G040200",1.2322,2.89288663383047e-10,390.65,1.22996880690071e-13
"Down","Gohir.A07G003950",-1.5946,5.24146050716888e-10,515.73,2.33463174517564e-13
"Down","Gohir.D04G163700",-1.4219,6.03134666072499e-10,135.48,2.80857169575386e-13
"Down","Gohir.A12G252300",-1.7214,6.69082487079035e-10,338.83,3.33297590120437e-13
"Up","Gohir.D07G122700",1.5792,6.69082487079035e-10,395.9,3.38659341127629e-13
"Down","Gohir.A06G189700",-2.2452,7.0471816997869e-10,98.48,3.70964375191245e-13
"Down","Gohir.A07G000700",-5.1779,7.28995451475841e-10,189.94,3.98503344465656e-13
"Down","Gohir.D02G063400",-3.0496,9.27233977090972e-10,701.35,5.2564284415588e-13
"Down","Gohir.A01G134600",-2.871,1.17821974984537e-09,135.75,6.91779493551906e-13
"Up","Gohir.A01G192250",3.3506,1.35734344784780e-09,311.91,8.24431151511051e-13
"Down","Gohir.A07G054800",-3.8619,1.62054380490049e-09,38.5,1.01710515775662e-12
"Down","Gohir.A07G036300",-2.7712,1.68904507692685e-09,162.08,1.09429548229793e-12
"Down","Gohir.A11G144300",-1.5372,1.75536926421405e-09,124.85,1.17280502346663e-12
"Down","Gohir.A11G268200",-1.5205,2.81045132004593e-09,277.15,1.93463202303129e-12
"Down","Gohir.A06G026400",-1.8731,3.34563789644135e-09,171.43,2.49739690951669e-12
"Down","Gohir.D02G041400",-2.8366,3.34563789644135e-09,472.22,2.50110892621493e-12
"Down","Gohir.D05G044100",-1.1584,3.34563789644135e-09,172.41,2.50624801928106e-12
"Down","Gohir.D07G017600",-2.5402,4.38765959997273e-09,66.21,3.46450284254406e-12
"Down","Gohir.D08G269801",-2.9655,4.38765959997273e-09,72.84,3.40249178825589e-12
"Up","Gohir.A12G032100",1.1456,4.62409988081703e-09,243.65,3.74481687788875e-12
"Down","Gohir.D02G239000",-4.6745,4.87075345468045e-09,24.3,4.0794258134704e-12
"Down","Gohir.D03G048100",-2.1543,4.87075345468045e-09,911.95,4.14179715534052e-12
"Down","Gohir.D04G119200",-1.6416,6.07748749520395e-09,114.02,5.41402352180462e-12
"Down","Gohir.D08G194000",-2.8333,6.07748749520395e-09,40.07,5.35469067037428e-12
