"Regulation","Ensembl ID","log2 Fold Change","Adj.Pval","baseMean","pvalue"
"Up","Gohir.D07G234800",1.7216,8.96994793317337e-11,107.33,1.77538356685404e-15
"Up","Gohir.D02G139500",2.228,1.26864216445139e-08,77.95,7.39442205359319e-13
"Up","Gohir.D10G179800",4.6268,1.26864216445139e-08,55.72,7.53290810971848e-13
"Up","Gohir.A07G227700",2.0847,2.31870611543633e-07,48.36,1.83572647885071e-11
"Up","Gohir.D05G202200",1.5882,9.70624735477632e-07,21.01,9.60558086728716e-11
"Up","Gohir.D03G130700",1.7124,1.16928352747818e-06,32.24,1.38858783248932e-10
"Down","Gohir.A03G017000",-1.8549,1.64172063954298e-06,583.46,2.27457138722208e-10
"Up","Gohir.D08G026700",3.5693,2.20585957700866e-06,103.7,3.49277108227165e-10
"Up","Gohir.D01G190600",2.1815,2.55729434848921e-06,70.07,4.5553893469248e-10
"Up","Gohir.A11G197200",2.0074,3.42815558456164e-06,38.75,6.78520224954802e-10
"Up","Gohir.A03G115700",1.9654,5.72075247875629e-06,98.19,2.45212698249247e-09
"Down","Gohir.A05G405000",-1.8062,5.72075247875629e-06,168.01,2.83071039444437e-09
"Up","Gohir.A06G131000",1.7098,5.72075247875629e-06,10.35,1.82419141693473e-09
"Up","Gohir.A09G126100",3.7679,5.72075247875629e-06,22.45,1.39003282897525e-09
"Up","Gohir.A10G028600",1.4697,5.72075247875629e-06,48.6,2.14437711087157e-09
"Up","Gohir.A11G170100",3.0266,5.72075247875629e-06,19.67,1.87026919134698e-09
"Up","Gohir.D01G042742",1.7528,5.72075247875629e-06,15.11,2.52133903280783e-09
"Up","Gohir.D01G209400",1.7856,5.72075247875629e-06,104.2,2.7756292982907e-09
"Up","Gohir.D03G094600",1.1908,5.72075247875629e-06,206.39,1.70579662364693e-09
"Up","Gohir.D05G007100",2.1724,5.72075247875629e-06,14.1,2.69009820102055e-09
"Up","Gohir.D07G223300",1.9775,5.72075247875629e-06,18.51,1.49036204672383e-09
"Up","Gohir.D10G205700",1.53,5.72075247875629e-06,19.44,2.74784233480438e-09
"Up","Gohir.D11G334601",1.6937,5.72075247875629e-06,31.17,1.29855450912297e-09
