"Regulation","Ensembl ID","log2 Fold Change","Adj.Pval","baseMean","pvalue"
"Down","Gohir.A03G135900",-2.6684,2.99639795455504e-11,173.82,6.20886438987783e-16
"Up","Gohir.D12G040200",1.3457,3.9605150395369e-11,390.65,1.64132409429627e-15
"Up","Gohir.A02G049700",1.1329,4.00529657219366e-10,2669.4,3.08044830640162e-14
"Up","Gohir.D05G371800",1.2095,4.00529657219366e-10,735.05,3.31976508263047e-14
"Up","Gohir.D02G054800",1.0984,9.88477352006462e-10,2148.24,1.0241166100357e-13
"Down","Gohir.D08G194000",-3.5424,1.56571680453439e-09,40.07,1.9466019119781e-13
"Up","Gohir.A12G032100",1.1937,8.2124688549996e-09,243.65,1.1911993780563e-12
"NS","Gohir.D08G102500",0.9699,7.35447550212228e-08,237.43,1.21914222994153e-11
"Up","Gohir.A13G006100",4.3266,1.2977043310048e-07,63.86,2.52265606978929e-11
"Up","Gohir.D10G202900",4.4296,1.2977043310048e-07,40.47,2.68898535226854e-11
"Up","Gohir.A09G029900",3.3934,5.74877987976998e-07,43.78,1.31033109567902e-10
"Down","Gohir.D12G116900",-3.6414,8.42823813129227e-07,32.83,2.09570778233542e-10
"Up","Gohir.A07G198900",3.0541,9.24620708539145e-07,37.81,2.49068984894507e-10
"Up","Gohir.D05G056700",3.3223,1.0046510832517e-06,106.88,2.91444574503186e-10
"Up","Gohir.A09G072300",2.8464,1.7800280464047e-06,57.04,5.53261929052434e-10
"Up","Gohir.A04G029200",1.5687,2.3317001380107e-06,84.19,7.73046046584566e-10
"NS","Gohir.A08G225600",0.7969,2.54105909143458e-06,606.43,8.9510991617049e-10
"Down","Gohir.A06G082300",-3.8191,2.54517835580053e-06,28.2,9.49299842611057e-10
"Up","Gohir.A01G084800",2.0077,3.86192566294653e-06,32.7,1.5204431743884e-09
"Up","Gohir.A01G192250",2.7854,7.20142131292896e-06,311.91,2.98442656980065e-09
"Up","Gohir.A05G342300",3.6389,7.86505802115779e-06,34.87,3.42242475019299e-09
"Up","Gohir.D10G013500",1.0985,8.12795627622166e-06,1397.03,3.7052432257952e-09
"Up","Gohir.A10G013600",1.1038,8.24669677477752e-06,1250.51,3.93025333236392e-09
"Up","Gohir.A11G068900",3.9135,8.64769189359292e-06,17.85,4.30055129395421e-09
"Up","Gohir.A11G260000",1.63,8.83797081697647e-06,127.11,4.57831061799444e-09
