"Regulation","Ensembl ID","log2 Fold Change","Adj.Pval","baseMean","pvalue"
"Down","Gohir.A05G202900",-2.2514,0.00113992471845377,47.85,4.61582733419894e-08
"Down","Gohir.A08G036400",-3.3103,0.00113992471845377,89.86,3.20323224637582e-08
"Down","Gohir.A12G178000",-2.9439,0.00160395901035304,42.75,9.74221945063797e-08
"Down","Gohir.A01G037000",-1.7213,0.00490541011377703,128.77,3.97263533671609e-07
"Down","Gohir.D04G027100",-2.4885,0.00833415285246861,29.6,8.92469785796431e-07
"Down","Gohir.D04G131100",-1.8354,0.00833415285246861,148.81,1.18114411174442e-06
"Down","Gohir.D05G178300",-1.5056,0.00833415285246861,215.35,1.02140984591741e-06
"Down","Gohir.A11G292500",-1.9354,0.0120645354730489,33.88,1.95408737820682e-06
"Down","Gohir.A07G102700",-2.0089,0.0132287312216337,95.52,2.41048309432101e-06
"Down","Gohir.D05G262900",-1.998,0.0167020104927167,165.66,3.71967353862738e-06
"Down","Gohir.D08G163900",-2.0255,0.0167020104927167,35.92,3.60446909829435e-06
"Down","Gohir.D08G241200",-1.2598,0.0186040465215973,42.51,4.51993355723939e-06
"Down","Gohir.D05G304500",-1.4185,0.032608920443801,155.68,9.24289128225651e-06
"Down","Gohir.D08G047100",-1.0725,0.032608920443801,26.05,9.11848852067225e-06
"Down","Gohir.A08G221660",-1.3726,0.0343903901843269,30.84,1.05631036003835e-05
"Down","Gohir.A11G317250",-1.3818,0.0343903901843269,82.57,1.1140392026021e-05
"Down","Gohir.D07G137800",-1.7426,0.0350019648882333,82.71,1.26872462139033e-05
"Down","Gohir.D07G210400",-1.7184,0.0350019648882333,74.52,1.27558181079568e-05
"Down","Gohir.A04G091900",-1.6838,0.0354724090402216,165,1.36454440347467e-05
"Down","Gohir.D05G315600",-1.6082,0.0382520995278899,59.87,1.54891883413872e-05
"NS","Gohir.D09G157700",-1.296,0.0540753985201104,371.24,2.29912408673939e-05
"NS","Gohir.A01G085900",-0.8852,0.0631289419703614,68.58,4.91739508366254e-05
"NS","Gohir.A02G043000",-1.2341,0.0631289419703614,57.8,4.26085029161699e-05
"NS","Gohir.A03G067800",-1.3073,0.0631289419703614,145.65,4.50681264483114e-05
"NS","Gohir.A05G086400",-1.3251,0.0631289419703614,10.15,4.29664564788872e-05
"NS","Gohir.A06G035200",-1.1138,0.0631289419703614,541.89,5.20858918688586e-05
"NS","Gohir.A06G040400",-1.1405,0.0631289419703614,195.36,3.89228423549567e-05
