"Regulation","Ensembl ID","log2 Fold Change","Adj.Pval","baseMean","pvalue"
"Up","Gohir.D03G130700",2.9121,1.05698015546337e-19,32.24,1.96034748221998e-24
"Up","Gohir.A12G177900",4.5352,1.75274924952202e-17,297.44,6.50153659083059e-22
"Up","Gohir.A12G178000",4.8753,2.29837256596292e-14,42.75,1.78194832712311e-18
"Up","Gohir.D09G094400",5.9837,2.29837256596292e-14,64.6,1.87252795740461e-18
"Up","Gohir.D12G180300",3.9937,2.29837256596292e-14,199.28,2.13135925475994e-18
"Up","Gohir.A05G034800",3.205,5.68224403618993e-14,116.74,6.32320639065611e-18
"Up","Gohir.A08G036400",4.7341,1.56452864559167e-13,89.86,2.03117706872319e-17
"Up","Gohir.D07G161900",3.1514,2.84669228046794e-13,21.83,4.22373571789449e-17
"Up","Gohir.D08G026700",5.0491,3.05049064601429e-13,103.7,5.09188319561716e-17
"Up","Gohir.D04G131100",2.5072,1.13663299608308e-12,148.81,2.10807707274579e-16
"Up","Gohir.A09G094600",6.4901,1.95537917530494e-12,65.67,4.68190564477333e-16
"Up","Gohir.A13G048200",2.2971,1.95537917530494e-12,101.81,5.04475739405347e-16
"Up","Gohir.D02G023400",4.0043,1.95537917530494e-12,32.71,5.43986936265702e-16
"Up","Gohir.D03G102500",1.4728,1.95537917530494e-12,146.31,4.17062680179685e-16
"Up","Gohir.D05G315600",2.8104,1.95537917530494e-12,59.87,5.4337481036487e-16
"Up","Gohir.D09G114100",2.5654,4.63469005510529e-12,156.25,1.37532996182508e-15
"Up","Gohir.D12G180400",4.2375,1.36007783505445e-11,43.95,4.28823828701465e-15
"Up","Gohir.A04G091900",2.9407,1.8130968139048e-11,165,6.05284740722698e-15
"Up","Gohir.D12G034600",3.4326,2.43883927887415e-11,96.89,8.59415154468058e-15
"Up","Gohir.D07G223300",2.8506,2.60317801891732e-11,18.51,9.65606298051603e-15
"Up","Gohir.D05G175100",1.8615,3.04162954493136e-11,103.43,1.18465485447454e-14
"Up","Gohir.A01G044600",1.2931,3.67518193303074e-11,102.95,1.58672463555911e-14
"Up","Gohir.A05G139000",3.425,3.67518193303074e-11,43.36,1.76905757633903e-14
"Up","Gohir.A06G040400",1.8553,3.67518193303074e-11,195.36,1.50075643868929e-14
"Up","Gohir.A08G156400",2.6107,3.67518193303074e-11,284.52,1.73986682373684e-14
"Up","Gohir.D05G262900",3.0852,3.67518193303074e-11,165.66,1.77222319557104e-14
"Up","Gohir.D10G056600",4.0926,4.1179254304462e-11,496.55,2.06209404321465e-14
"Up","Gohir.D05G036200",2.9878,4.5746219157986e-11,146.43,2.37563362221078e-14
"Up","Gohir.D05G210800",1.7469,7.09049140407968e-11,101.7,3.81364758927094e-14
"Up","Gohir.A13G027500",1.7107,1.09828713277138e-10,46.12,6.11087465839636e-14
"Up","Gohir.A01G148700",2.8098,1.13223201934557e-10,91.48,6.50973563554148e-14
"Up","Gohir.A11G001200",1.9548,1.1338114371615e-10,38.48,6.72910085484773e-14
"Up","Gohir.D07G188033",2.0903,1.41637714594618e-10,87.3,8.66880185025852e-14
"Up","Gohir.A06G170800",1.9543,1.61521228939218e-10,86.46,1.04848900420502e-13
"Up","Gohir.D12G176100",2.1161,1.61521228939218e-10,451.15,1.04340317657146e-13
"Up","Gohir.A03G143800",2.0755,1.66050047482401e-10,67.69,1.13464112730422e-13
"Up","Gohir.A06G203700",1.693,1.66050047482401e-10,100.83,1.14328131879207e-13
"Up","Gohir.A08G221660",1.8216,1.66050047482401e-10,30.84,1.17027742207264e-13
"Up","Gohir.D12G047000",3.571,1.85274138268667e-10,25.27,1.34012600476242e-13
"Up","Gohir.D06G041400",1.5736,1.9139076823958e-10,178.7,1.41986548640216e-13
"Up","Gohir.A10G054600",3.5288,1.96888609525407e-10,223.41,1.49716847630507e-13
"Up","Gohir.A11G016900",1.7869,2.12061514641032e-10,124.22,1.65187573999839e-13
"Up","Gohir.A07G216500",2.9971,2.68929852658556e-10,17.83,2.14473527658999e-13
"Up","Gohir.D08G047100",5.1941,3.43056247683806e-10,26.05,2.79952425870534e-13
"Up","Gohir.A01G037000",1.8586,4.29765551954211e-10,128.77,3.58682626171956e-13
"Up","Gohir.D09G074800",2.2469,4.64417658719002e-10,146.73,3.96216705016397e-13
"Up","Gohir.A12G160900",1.3927,4.66592115571246e-10,228.19,4.10394913335543e-13
"Up","Gohir.D03G155600",3.1939,4.66592115571246e-10,76.43,4.15379308346374e-13
"Up","Gohir.A04G143600",2.5282,5.02555059896462e-10,36.82,4.56715715251431e-13
"Up","Gohir.A10G056000",2.8605,5.17021488906617e-10,203.7,4.89040690200628e-13
"Up","Gohir.A12G166000",1.3223,5.17021488906617e-10,118.2,4.86662615351059e-13
"Up","Gohir.A12G144200",2.3934,5.24770625060713e-10,26.96,5.06103203070535e-13
"Up","Gohir.D06G127900",2.1602,5.48781571615197e-10,185.97,5.39438096657989e-13
"Up","Gohir.A02G147400",3.2137,5.66957548913797e-10,20.6,5.67819793785843e-13
"Up","Gohir.A01G085900",1.2906,5.97382842243333e-10,68.58,6.19110947589482e-13
"Up","Gohir.D02G039200",2.5077,5.97382842243333e-10,35.5,6.20450297964069e-13
"Up","Gohir.A02G010904",2.8228,6.06128608411751e-10,43.19,6.52017123926733e-13
"Up","Gohir.D06G217900",1.3036,6.06128608411751e-10,59.53,6.41879842233768e-13
"Up","Gohir.A01G070700",2.4341,6.96425953199673e-10,21.5,7.62067050684014e-13
"Up","Gohir.D03G041700",2.6972,7.39948222103243e-10,71.09,8.23415062246273e-13
"Up","Gohir.D13G046600",2.9686,7.42257744391534e-10,90.19,8.3975151911947e-13
"Up","Gohir.D06G147500",5.0755,7.89454433801553e-10,19.02,9.07789140837870e-13
"Up","Gohir.A02G129700",3.6394,8.65404822642813e-10,13.35,1.01117444687298e-12
"Up","Gohir.D10G023000",2.9873,8.90153085730513e-10,53.44,1.0566007175109e-12
"Up","Gohir.D02G174000",1.8615,9.99188860503382e-10,84,1.22878926092813e-12
"Up","Gohir.D11G041800",1.5563,9.99188860503382e-10,733.92,1.24161974950344e-12
"Up","Gohir.D11G056400",4.4808,9.99188860503382e-10,18,1.20611038072818e-12
"Up","Gohir.D10G179800",4.4171,1.11834458722721e-09,55.72,1.41042753684206e-12
"Up","Gohir.D08G241200",1.4053,1.12797577143802e-09,42.51,1.44349434751332e-12
"Up","Gohir.A01G128500",3.992,1.13834350012632e-09,13.97,1.47787464314037e-12
"Up","Gohir.A03G017100",2.9265,1.16207317478441e-09,37.25,1.54718191601688e-12
"Up","Gohir.A07G102700",2.6414,1.16207317478441e-09,95.52,1.57333991912278e-12
"Up","Gohir.A12G182800",1.4394,1.16207317478441e-09,66.73,1.56280210270619e-12
"Up","Gohir.A12G180000",2.0562,1.23828183671013e-09,50.64,1.6994854393069e-12
"Up","Gohir.A11G090500",2.1772,1.24554426103296e-09,137.02,1.73255349934108e-12
"Up","Gohir.A05G260700",3.0546,1.83510658248964e-09,152.23,2.5970960504069e-12
"Up","Gohir.A07G230000",3.7425,1.83510658248964e-09,23.01,2.65474078107852e-12
"Up","Gohir.A10G103400",1.9755,1.83510658248964e-09,22.85,2.62355187362712e-12
"Up","Gohir.D03G033000",3.5817,1.8882740209677e-09,11.1,2.76667620565392e-12
"Up","Gohir.D02G071500",3.3557,1.91973421719945e-09,30.58,2.84837600385689e-12
"Up","Gohir.A03G000049",3.0298,2.17129921655404e-09,11.67,3.30217247964374e-12
"Up","Gohir.D06G163300",2.3168,2.17129921655404e-09,17.28,3.29697706931414e-12
"Up","Gohir.D01G133300",3.4973,2.28480536140124e-09,55.5,3.51717135272641e-12
"Up","Gohir.A02G032500",3.0165,2.34463348448482e-09,52.38,3.66621599152937e-12
"Up","Gohir.A08G073675",1.2772,2.34463348448482e-09,160.89,3.6962395893989e-12
"Up","Gohir.A07G197700",1.8416,2.49165945322201e-09,24.56,3.97423333538138e-12
"Up","Gohir.A01G142101",4.8198,2.53989752001001e-09,26.41,4.09828043029917e-12
"Up","Gohir.D03G001100",1.4642,2.58435271642904e-09,399.6,4.21794278433465e-12
"Up","Gohir.D05G364600",4.0241,2.96459370640083e-09,89.07,4.89352052875986e-12
"Up","Gohir.A05G037500",1.5073,3.31358099592519e-09,62.91,5.53103397071974e-12
"Up","Gohir.D05G059100",4.1823,3.70268529094989e-09,46.86,6.24919992352165e-12
"Up","Gohir.A09G117200",2.2369,4.64774088937648e-09,109.82,7.93041585041426e-12
"Up","Gohir.D08G175900",3.059,4.9203060163028e-09,37.63,8.52643225089443e-12
"Up","Gohir.D11G039500",4.3228,4.9203060163028e-09,5.75,8.57800299589122e-12
"Up","Gohir.D11G017700",3.4249,5.04542281666334e-09,220.71,8.88970599026332e-12
"Up","Gohir.A06G134000",1.2821,5.0517220614385e-09,155.39,9.18188289663885e-12
"Up","Gohir.A07G074700",1.3862,5.0517220614385e-09,141.63,9.17432619289383e-12
"Up","Gohir.A09G128400",1.7323,5.0517220614385e-09,36.65,9.01226400690066e-12
"NS","Gohir.A01G170000",0.9769,5.05755989465072e-09,164.12,9.28629455043624e-12
"Up","Gohir.A12G173600",1.9485,5.5330301293544e-09,366.94,1.02619350297756e-11
"Up","Gohir.D02G021500",3.639,5.66684904761854e-09,70.52,1.06152259692398e-11
