"Regulation","Ensembl ID","log2 Fold Change","Adj.Pval","baseMean","pvalue"
"Down","Gohir.A05G318401",-18.4373,5.29707414508957e-16,119.15,1.16002715889033e-20
"Up","Gohir.D13G063000",2.1859,5.29707414508957e-16,360.01,1.96486299383863e-20
"Up","Gohir.D05G363200",3.1592,1.01430159477523e-11,66.86,5.64357873868781e-16
"Up","Gohir.D01G069800",1.7795,1.4572125129697e-11,1681.67,1.08105828329664e-15
"Up","Gohir.A11G079800",2.8747,2.46217603601088e-11,51.25,2.28325979822219e-15
"Up","Gohir.D07G234800",1.6946,3.5320552145545e-11,107.33,3.93047429194833e-15
"Up","Gohir.D01G042742",2.4469,4.59132771161465e-11,15.11,5.96077265130431e-15
"Up","Gohir.A01G044600",1.3222,4.61820256395823e-11,102.95,6.85218674870467e-15
"Up","Gohir.D02G139500",2.346,6.64615904784059e-11,77.95,1.10937778535119e-14
"Down","Gohir.A03G017000",-2.2656,7.04211153629434e-11,583.46,1.30607803262256e-14
"Up","Gohir.A09G087000",1.2762,7.63714439655033e-11,131.64,1.5580805735015e-14
"Up","Gohir.D02G147800",1.2047,7.88010582682162e-11,512.81,1.80317144547531e-14
"Up","Gohir.D11G334601",2.2166,7.88010582682162e-11,31.17,1.8999476195089e-14
"Up","Gohir.D01G209400",2.3485,7.96968895545384e-11,104.2,2.06935801358273e-14
"Up","Gohir.A03G030200",2.072,1.1648721743377e-10,76.65,3.24067706796718e-14
"Down","Gohir.D12G238000",-1.7088,1.26835458136754e-10,252.72,3.76380305313265e-14
"Up","Gohir.D03G001100",1.6026,1.67991799098907e-10,399.6,5.54150215677311e-14
"Down","Gohir.D09G247800",-2.2488,1.67991799098907e-10,196.85,5.82838702014819e-14
"Up","Gohir.D11G325233",2.4567,1.67991799098907e-10,126.85,5.91981190489119e-14
"Up","Gohir.A10G185500",1.8207,2.17125515201974e-10,37.93,8.45661155688535e-14
"NS","Gohir.D11G321400",0.9565,2.17125515201974e-10,587.24,8.1420954616714e-14
"Up","Gohir.D02G006301",2.4025,2.69279945469358e-10,59.03,1.14440379155766e-13
"Up","Gohir.D05G007100",2.7649,2.69279945469358e-10,14.1,1.14867738896013e-13
"Up","Gohir.D01G190600",2.5477,5.41461852503949e-10,70.07,2.41015699026202e-13
"Up","Gohir.A12G042100",1.4032,5.76707890663393e-10,215.84,2.67400446355296e-13
"Up","Gohir.D06G064100",1.6971,6.48727131095196e-10,63.97,3.12825130911293e-13
"Up","Gohir.A12G180000",2.0147,7.16987011944053e-10,50.64,3.5903871290644e-13
"Down","Gohir.D11G118000",-1.374,8.82405275496771e-10,449.3,4.58239321078482e-13
"Up","Gohir.D02G137400",2.2525,1.25109648805278e-09,79.38,6.7290697269058e-13
"Up","Gohir.D13G036750",1.7869,1.30104854929949e-09,184.2,7.23904011257551e-13
"NS","Gohir.A12G108900",0.8003,1.54648375376421e-09,357.71,8.89146414308591e-13
"Up","Gohir.A10G232700",3.4287,1.76486539017277e-09,15.69,1.04743670917929e-12
"Down","Gohir.D05G228100",-2.7428,2.09432247924047e-09,170.69,1.28181018982409e-12
"Up","Gohir.A04G040800",2.3878,2.21777595868702e-09,18.02,1.39850110529617e-12
"Up","Gohir.D10G243400",2.2584,2.44546830729601e-09,67.89,1.58743630615677e-12
"Up","Gohir.A06G065500",1.7028,3.1091317398661e-09,91.47,2.07590679615675e-12
"Up","Gohir.A11G187300",1.8686,3.70027865184233e-09,229.88,2.88237144139949e-12
"Up","Gohir.D01G077000",1.8119,3.70027865184233e-09,162.3,2.86256086180318e-12
"Up","Gohir.D05G134900",1.866,3.70027865184233e-09,58.76,2.60632143157773e-12
"Up","Gohir.D07G102200",1.1392,3.70027865184233e-09,138.18,2.71060004255721e-12
"Down","Gohir.D09G082900",-1.4317,3.70027865184233e-09,1100.32,2.61911051464017e-12
"Down","Gohir.D11G063600",-2.6075,3.70027865184233e-09,1046.24,2.75000921632846e-12
"Up","Gohir.A12G142100",2.2013,3.85148165715868e-09,7.28,3.07158483730523e-12
"Up","Gohir.D06G172000",1.6777,4.13679874543158e-09,129.33,3.37585119624224e-12
"Down","Gohir.A01G210920",-1.4703,4.22565128698374e-09,471.95,3.60510329020461e-12
"Up","Gohir.D12G030200",1.3461,4.22565128698374e-09,164.46,3.57748810860614e-12
"Up","Gohir.D03G148500",1.9446,4.26918303012178e-09,210.78,3.72142146251203e-12
"Up","Gohir.D11G041800",1.5042,5.29174614796692e-09,733.92,4.72014980324526e-12
"Up","Gohir.D13G030400",1.5492,5.29174614796692e-09,171.55,4.80907231815682e-12
"NS","Gohir.D12G046700",0.7142,5.29502542321823e-09,1429.64,4.91025763494402e-12
"Down","Gohir.A05G103900",-1.3589,5.902016199728e-09,76.86,5.58260369795111e-12
"Up","Gohir.D10G223200",2.1152,5.99985512568723e-09,35.08,5.78642506279416e-12
"Down","Gohir.A08G228000",-1.2043,6.42460550461773e-09,342.9,6.31522110880856e-12
