"Regulation","Ensembl ID","log2 Fold Change","Adj.Pval","baseMean","pvalue"
"Up","Gohir.D03G008800",20.3777,1.83564155030924e-11,67.73,4.55042526105413e-16
"Up","Gohir.D11G102000",2.5786,4.38851540907387e-05,31.7,2.17576371297664e-09
"Down","Gohir.A09G220200",-2.799,0.000199305496918074,76.09,1.48219258987165e-08
"Down","Gohir.D07G191300",-1.2969,0.000245638308122717,294.98,2.4356798029025e-08
"Down","Gohir.D08G269801",-2.9588,0.000254225558917498,72.84,3.15103568316185e-08
"Down","Gohir.D11G278100",-1.3002,0.000306899469836443,551.22,4.56469216415136e-08
"Down","Gohir.A08G166000",-2.4547,0.000486980399363264,67.97,9.65751907512671e-08
"Down","Gohir.D09G221400",-4.5434,0.000486980399363264,73.6,9.44540505904437e-08
"Down","Gohir.D08G012900",-1.9304,0.000629114346166232,139.85,1.40357687543284e-07
"Down","Gohir.A11G268200",-1.3696,0.000989281709669176,277.15,2.45235922079617e-07
"Down","Gohir.A01G023100",-1.8309,0.00115165706429258,113.52,3.34226468652232e-07
"Up","Gohir.A10G021300",1.4043,0.00115165706429258,65.51,3.71133907679812e-07
"Down","Gohir.D05G357900",-1.4349,0.00115165706429258,90.7,3.57380040113795e-07
"Up","Gohir.D12G160200",1.4182,0.00135183882093979,145.57,4.69155763340531e-07
"Down","Gohir.A01G150300",-1.6137,0.00138249169808453,123.25,5.14064835678433e-07
"Down","Gohir.D03G028400",-1.6669,0.00144120596276854,948.48,5.71623584637993e-07
"Down","Gohir.A07G200800",-1.3124,0.0021894070314389,247.43,1.00087784089925e-06
"Down","Gohir.A11G068900",-3.424,0.0021894070314389,17.85,9.23675629385488e-07
"Down","Gohir.A11G289100",-1.2812,0.0021894070314389,51.23,1.03120311346899e-06
"Down","Gohir.A02G057600",-2.6128,0.0022667843481938,835.22,1.1238395380237e-06
"Down","Gohir.A05G199500",-1.4938,0.00265948328615816,292.37,1.38446080836196e-06
"Down","Gohir.D12G132800",-2.9667,0.00284912665903108,179.2,1.55381225827179e-06
"Down","Gohir.A12G128400",-1.3511,0.0028500894901545,218.24,1.62498904991456e-06
"Down","Gohir.A01G084800",-1.6527,0.00330881037463227,32.7,1.96855351986054e-06
"Up","Gohir.A04G058500",1.0778,0.00332461290956725,107.02,2.1158248502832e-06
"Down","Gohir.A10G041000",-1.4875,0.00332461290956725,124.06,2.14278472108946e-06
"NS","Gohir.A09G104200",-0.9748,0.00376435578669864,1024.93,2.51952420031887e-06
"Up","Gohir.A01G110800",1.34,0.00380502409820309,51.77,2.64106779250586e-06
"Down","Gohir.A07G031400",-1.096,0.00382368808073556,76.57,2.92580070667599e-06
"Down","Gohir.A07G033400",-1.9454,0.00382368808073556,158.76,2.92539403933375e-06
"Up","Gohir.D08G173800",1.2832,0.00382368808073556,61.09,2.93838201543883e-06
"Down","Gohir.A01G065400",-2.3061,0.00383183587664531,112.62,3.03963183075483e-06
"Down","Gohir.A04G029200",-1.3241,0.00396353879913803,84.19,3.44518054764305e-06
"Up","Gohir.A06G097500",1.1984,0.00396353879913803,97.64,3.56460882285303e-06
"Down","Gohir.A13G091000",-1.2028,0.00396353879913803,909.38,3.26978799843823e-06
"Up","Gohir.D05G096300",1.2269,0.00396353879913803,193.25,3.63537272107355e-06
"Down","Gohir.D11G012501",-2.5206,0.00396353879913803,45.6,3.58102304949087e-06
"Down","Gohir.A11G238501",-2.6684,0.00397286221525608,13.46,3.83185140810055e-06
"Up","Gohir.D08G117800",1.1627,0.00397286221525608,49.05,3.84089306878996e-06
"Down","Gohir.D05G202500",-1.3838,0.00404237910860929,377.25,4.00830848647426e-06
"Down","Gohir.A13G006100",-2.5885,0.00434399029167078,63.86,4.41506202177744e-06
"Down","Gohir.D10G202700",-2.5515,0.0046022955028302,16.37,4.79168098956045e-06
"Down","Gohir.D07G073700",-1.9012,0.0061286559564431,59.29,6.53277655248025e-06
"Up","Gohir.A09G142300",1.1885,0.0061803136732573,733.8,7.04745733688239e-06
"Down","Gohir.D07G123500",-1.0067,0.0061803136732573,270.5,6.90645242355837e-06
"Down","Gohir.D10G202900",-2.3242,0.0061803136732573,40.47,6.84835822971254e-06
"NS","Gohir.D01G207800",-0.9493,0.00657740571466504,1218.51,7.66331354956016e-06
"Down","Gohir.A05G342300",-2.2896,0.0066542777935989,34.87,7.91783178217024e-06
"Down","Gohir.A01G003266",-1.8219,0.00669898967257149,30.42,1.02251122573904e-05
"NS","Gohir.A01G218800",-0.9984,0.00669898967257149,1329.59,9.14966261017311e-06
"Down","Gohir.A02G086200",-1.316,0.00669898967257149,298.15,9.7313589145024e-06
"Down","Gohir.A02G152000",-1.6035,0.00669898967257149,968.45,9.99022252714195e-06
"Down","Gohir.A05G122900",-1.1908,0.00669898967257149,89.99,1.00791883906642e-05
"Up","Gohir.A06G183300",2.1193,0.00669898967257149,19.47,1.0021703390467e-05
"Down","Gohir.A06G210200",-1.4839,0.00669898967257149,212.38,8.26798586416796e-06
"Down","Gohir.A07G036300",-1.6014,0.00669898967257149,162.08,9.11854541073021e-06
"Down","Gohir.A12G252300",-1.1574,0.00669898967257149,338.83,1.02959186836746e-05
"Down","Gohir.D02G141500",-1.0196,0.00669898967257149,91.9,8.49794530242168e-06
"Down","Gohir.D02G173700",-1.5049,0.00669898967257149,450.95,9.0127104748948e-06
"Down","Gohir.D06G030300",-2.0535,0.00669898967257149,50.19,9.84801038790733e-06
"Down","Gohir.D09G249200",-1.2666,0.00669898967257149,704.57,8.57456386163676e-06
"Up","Gohir.D11G273650",1.5766,0.00669898967257149,23.68,1.02039397928811e-05
"Down","Gohir.A02G052900",-1.4421,0.00709819487263683,174.31,1.11450645804642e-05
"NS","Gohir.D09G230200",0.7722,0.00709819487263683,575.7,1.12613899813772e-05
"Down","Gohir.A03G003400",-1.3933,0.00724446973067736,64.15,1.18526277199977e-05
"Down","Gohir.A08G112700",-1.1608,0.00724446973067736,150.37,1.17282675201747e-05
"NS","Gohir.A05G228600",-0.5573,0.0076888880648769,550.92,1.29609417057915e-05
"NS","Gohir.A13G221600",-0.9075,0.0076888880648769,164.46,1.28660651196599e-05
"Down","Gohir.A09G234100",-1.6064,0.00812549077902729,35.47,1.38983357400318e-05
"Down","Gohir.D03G129500",-1.935,0.00846358599541792,34.28,1.48962470420097e-05
"NS","Gohir.D06G189300",-0.9069,0.00846358599541792,131.09,1.48139912597004e-05
"Down","Gohir.A02G027200",-1.3057,0.00891590977081489,39.15,1.64343477209305e-05
"Down","Gohir.A08G022400",-1.825,0.00891590977081489,371.14,1.73665068945117e-05
"Up","Gohir.A12G125300",1.3306,0.00891590977081489,20.88,1.59764250353823e-05
"Down","Gohir.A12G169500",-1.295,0.00891590977081489,103.97,1.73644192591314e-05
"Down","Gohir.D01G078400",-1.7176,0.00891590977081489,398.46,1.74100282470064e-05
"Down","Gohir.D02G058300",-1.2229,0.00891590977081489,43.48,1.751446852343e-05
"Down","Gohir.D05G289300",-1.3818,0.00891590977081489,96.22,1.62746883820086e-05
"Down","Gohir.D07G224800",-1.8133,0.00891590977081489,56.16,1.67532677252873e-05
"Down","Gohir.D11G205300",-1.8871,0.00891590977081489,92.48,1.76815265658203e-05
"NS","Gohir.A01G047100",-0.9953,0.00896348921477376,417.92,1.83534897996829e-05
"Up","Gohir.A09G243600",1.3741,0.00896348921477376,257.26,1.84424790487413e-05
"Down","Gohir.D08G250700",-1.0233,0.00896348921477376,92.25,1.8325025949945e-05
"NS","Gohir.A01G020700",0.9812,0.0094081647024361,77.44,2.00570690235376e-05
"NS","Gohir.D02G153700",-0.7782,0.0094081647024361,250.68,2.00312538962696e-05
"Down","Gohir.D02G202400",-1.0429,0.0094081647024361,299.38,1.99509026185402e-05
"Down","Gohir.A01G134600",-1.4497,0.00994558681729707,135.75,2.14493320055738e-05
"Down","Gohir.D02G057700",-1.3745,0.0101818875052859,209.87,2.22113559857501e-05
"Down","Gohir.A03G172900",-1.6555,0.0112662081427943,139.6,2.48946783449907e-05
"Down","Gohir.A09G219100",-1.0274,0.0112662081427943,166.13,2.51353181172901e-05
"Down","Gohir.A06G031100",-1.64,0.0115500760092594,22.65,2.66275921879307e-05
"Up","Gohir.A09G025300",1.6957,0.0115500760092594,17.73,2.61918010818974e-05
"Down","Gohir.D02G074900",-1.0207,0.0115500760092594,120.12,2.63431228750135e-05
"Down","Gohir.D07G037000",-1.4753,0.0116307988265742,225.03,2.71020101561222e-05
"Down","Gohir.D08G184900",-1.2528,0.011659460049942,147.8,2.74578260967895e-05
"Down","Gohir.D05G056700",-1.6278,0.0118780701974852,106.88,2.82670981397765e-05
"Down","Gohir.D07G131700",-1.2345,0.0118845133273279,37.81,2.85770399789492e-05
"Down","Gohir.A07G054800",-1.598,0.0120943299806471,38.5,3.02807964314665e-05
