"Regulation","Ensembl ID","log2 Fold Change","Adj.Pval","baseMean","pvalue"
"Down","Gohir.D10G222000",-22.1054,3.35984708337692e-32,177.76,6.96197074881253e-37
"Up","Gohir.D12G040200",1.2126,6.13312577624749e-09,390.65,2.5417015235174e-13
"Down","Gohir.A07G000700",-5.2332,6.30315432696818e-09,189.94,3.91824761311739e-13
"Up","Gohir.A12G032100",1.1451,4.92899725666048e-08,243.65,5.10671079223009e-12
"NS","Gohir.D08G102500",0.9148,4.92899725666048e-08,237.43,4.92321787876626e-12
"Down","Gohir.A10G053700",-1.4372,7.90117174866074e-08,431.25,9.82325538581941e-12
"Down","Gohir.D05G289200",-1.5374,9.43476606087365e-08,167.49,1.36849072577944e-11
"Down","Gohir.D08G194000",-2.9078,6.09044715446305e-07,40.07,1.00960582751149e-10
"NS","Gohir.A06G051100",0.7571,1.58455141314737e-06,370.6,2.95502750068925e-10
"NS","Gohir.A04G114400",0.8905,1.61805067173905e-06,646.29,4.35861142407949e-10
"Down","Gohir.D07G163100",-1.3611,1.61805067173905e-06,168.18,4.3173130117951e-10
"NS","Gohir.D08G031900",0.93,1.61805067173905e-06,177,3.50433363535698e-10
"NS","Gohir.D13G010700",0.8833,1.61805067173905e-06,818.33,4.00303449664004e-10
"Up","Gohir.D07G122700",1.2971,2.4277176236878e-06,395.9,7.0426951370968e-10
"Down","Gohir.A11G136500",-3.6411,3.43627935458772e-06,138.34,1.06805201655234e-09
"NS","Gohir.D10G235300",0.9535,3.69848344595799e-06,380.67,1.22618597462345e-09
"Down","Gohir.D10G137200",-2.1208,5.13508881143731e-06,234.6,1.808879191762e-09
"Down","Gohir.A10G055500",-1.8501,5.53666209434244e-06,42.39,2.06506253000754e-09
"Down","Gohir.D04G119200",-1.4173,6.14447664609017e-06,114.02,2.41908529373629e-09
"NS","Gohir.A03G112000",-0.5427,6.52259327492672e-06,420.94,2.9734159148029e-09
"Down","Gohir.D02G056300",-2.2258,6.52259327492672e-06,203.94,2.89407637415045e-09
"NS","Gohir.D04G155800",0.8662,6.52259327492672e-06,868.89,2.84963981635725e-09
"Down","Gohir.A10G128900",-2.3654,6.96893525920518e-06,150.18,3.32129115129961e-09
"Down","Gohir.A05G187300",-2.576,7.42022880418129e-06,153.96,3.6901262184076e-09
"Down","Gohir.A09G154100",-2.4537,7.52741632763346e-06,49.98,3.89940754643258e-09
"Down","Gohir.D02G239000",-3.6385,8.22006569277775e-06,24.3,4.42854761732742e-09
"Down","Gohir.D07G001100",-4.0226,1.07869031355187e-05,77.98,6.0349437351638e-09
"Up","Gohir.D04G115500",1.3407,1.40835948294808e-05,183.7,8.17116981403776e-09
"Up","Gohir.A10G013600",1.0554,2.12663695342451e-05,1250.51,1.2779210868071e-08
"NS","Gohir.A08G021200",0.8441,2.52086315837817e-05,206.83,1.56705127955543e-08
"NS","Gohir.D02G016100",0.6202,2.55555737562459e-05,344.84,1.64157228852802e-08
"Down","Gohir.A03G119800",-4.6001,2.74294151784633e-05,1651.37,1.81877597536433e-08
"Up","Gohir.D05G168800",1.1069,2.84383113114944e-05,261.09,1.94460064914902e-08
"NS","Gohir.A09G086100",-0.6476,3.17348632907897e-05,452.74,2.23577569806641e-08
"NS","Gohir.D06G050200",0.5713,3.17685074289307e-05,385.24,2.30397380856315e-08
"NS","Gohir.A12G044800",0.7262,3.62687832259445e-05,1317.44,2.70550392899711e-08
"NS","Gohir.A13G173900",0.9503,3.72503398771748e-05,321.95,2.85591084843653e-08
"NS","Gohir.A07G038100",0.558,3.77472890043506e-05,343.64,2.97222748065752e-08
"NS","Gohir.D11G001200",-0.8825,4.27205904178576e-05,113.45,3.45234775444767e-08
"Down","Gohir.D10G242900",-2.1837,5.69538023944472e-05,37.86,4.72058038909633e-08
"Down","Gohir.D05G233500",-1.4575,6.28839872741241e-05,155.29,5.34240256576687e-08
"NS","Gohir.A09G132400",0.6782,6.33579399892031e-05,101.44,5.63925796574009e-08
