"","Direction","Pathways","statistic","nGenes","adj.Pval","Genes"
"Microtubule binding","Down","Microtubule binding","-6.1231",205,5.8e-07,"GOHIR.A01G003700 GOHIR.A01G036700 GOHIR.A01G073700 GOHIR.A01G084700 GOHIR.A01G094300 GOHIR.A01G094400 GOHIR.A01G122300 GOHIR.A01G146400 GOHIR.A01G192600 GOHIR.A01G205200 GOHIR.A02G040800 GOHIR.A02G080300 GOHIR.A02G086900 GOHIR.A02G155100 GOHIR.A02G156000 GOHIR.A02G179100 GOHIR.A03G016500 GOHIR.A03G036500 GOHIR.A03G065600 GOHIR.A03G074500 GOHIR.A03G126700 GOHIR.A03G168450 GOHIR.A03G190800 GOHIR.A03G199200 GOHIR.A04G004200 GOHIR.A04G011800 GOHIR.A04G022500 GOHIR.A04G053900 GOHIR.A04G079500 GOHIR.A04G082500 GOHIR.A04G123800 GOHIR.A04G143000 GOHIR.A05G023000 GOHIR.A05G077400 GOHIR.A05G099500 GOHIR.A05G167600 GOHIR.A05G185600 GOHIR.A05G188300 GOHIR.A05G204800 GOHIR.A05G218500 GOHIR.A05G219500 GOHIR.A05G236600 GOHIR.A05G308700 GOHIR.A05G327500 GOHIR.A05G411200 GOHIR.A06G006100 GOHIR.A06G025300 GOHIR.A06G032400 GOHIR.A06G154800 GOHIR.A07G033700 GOHIR.A07G039300 GOHIR.A07G066700 GOHIR.A07G126500 GOHIR.A08G031600 GOHIR.A08G082800 GOHIR.A08G118200 GOHIR.A08G134000 GOHIR.A08G241200 GOHIR.A09G044000 GOHIR.A09G047800 GOHIR.A09G062600 GOHIR.A09G067100 GOHIR.A09G129000 GOHIR.A09G140300 GOHIR.A09G178400 GOHIR.A09G194400 GOHIR.A09G238500 GOHIR.A10G016600 GOHIR.A10G080500 GOHIR.A10G109600 GOHIR.A10G131200 GOHIR.A10G164500 GOHIR.A10G190200 GOHIR.A10G202600 GOHIR.A11G005600 GOHIR.A11G081500 GOHIR.A11G177400 GOHIR.A11G195800 GOHIR.A11G206600 GOHIR.A11G210000 GOHIR.A11G257100 GOHIR.A11G264900 GOHIR.A11G271000 GOHIR.A11G295600 GOHIR.A11G307601 GOHIR.A12G011500 GOHIR.A12G060650 GOHIR.A12G085600 GOHIR.A12G152200 GOHIR.A12G222200 GOHIR.A12G228300 GOHIR.A12G256300 GOHIR.A12G267100 GOHIR.A13G031200 GOHIR.A13G090700 GOHIR.A13G110800 GOHIR.A13G135300 GOHIR.A13G136400 GOHIR.A13G189100 GOHIR.D01G003701 GOHIR.D01G013100 GOHIR.D01G024000 GOHIR.D01G060300 GOHIR.D01G071100 GOHIR.D01G078800 GOHIR.D01G078900 GOHIR.D01G109700 GOHIR.D01G139600 GOHIR.D01G177200 GOHIR.D01G194700 GOHIR.D02G046400 GOHIR.D02G088200 GOHIR.D02G091850 GOHIR.D02G137500 GOHIR.D02G150100 GOHIR.D02G191600 GOHIR.D02G211800 GOHIR.D02G220500 GOHIR.D03G000600 GOHIR.D03G024700 GOHIR.D03G025600 GOHIR.D03G063300 GOHIR.D03G092100 GOHIR.D03G101000 GOHIR.D03G131700 GOHIR.D03G151400 GOHIR.D04G004800 GOHIR.D04G097300 GOHIR.D04G118700 GOHIR.D04G121500 GOHIR.D04G165900 GOHIR.D04G186300 GOHIR.D05G024500 GOHIR.D05G080200 GOHIR.D05G099400 GOHIR.D05G170600 GOHIR.D05G178800 GOHIR.D05G188400 GOHIR.D05G191400 GOHIR.D05G208100 GOHIR.D05G221200 GOHIR.D05G222000 GOHIR.D05G238800 GOHIR.D05G309400 GOHIR.D05G327700 GOHIR.D05G364900 GOHIR.D05G374800 GOHIR.D05G385900 GOHIR.D06G001900 GOHIR.D06G019027 GOHIR.D06G022400 GOHIR.D06G031600 GOHIR.D06G144300 GOHIR.D06G162700 GOHIR.D07G037233 GOHIR.D07G037266 GOHIR.D07G043500 GOHIR.D07G071300 GOHIR.D07G130600 GOHIR.D08G042700 GOHIR.D08G092200 GOHIR.D08G139200 GOHIR.D08G155200 GOHIR.D08G261900 GOHIR.D09G045300 GOHIR.D09G049000 GOHIR.D09G061500 GOHIR.D09G066700 GOHIR.D09G125000 GOHIR.D09G134200 GOHIR.D09G174000 GOHIR.D09G188700 GOHIR.D09G239400 GOHIR.D10G016700 GOHIR.D10G070800 GOHIR.D10G135500 GOHIR.D10G157500 GOHIR.D10G170700 GOHIR.D10G198000 GOHIR.D10G210800 GOHIR.D11G004700 GOHIR.D11G086100 GOHIR.D11G185200 GOHIR.D11G201800 GOHIR.D11G213200 GOHIR.D11G217000 GOHIR.D11G267000 GOHIR.D11G275100 GOHIR.D11G281200 GOHIR.D11G311300 GOHIR.D11G323100 GOHIR.D12G011900 GOHIR.D12G060800 GOHIR.D12G083700 GOHIR.D12G155666 GOHIR.D12G155732 GOHIR.D12G224700 GOHIR.D12G230801 GOHIR.D12G257600 GOHIR.D12G267600 GOHIR.D13G029200 GOHIR.D13G113600 GOHIR.D13G139800 GOHIR.D13G140800 GOHIR.D13G196100"
"Microtubule-based movement","Down","Microtubule-based movement","-5.6978",178,1.6e-06,"GOHIR.A01G003700 GOHIR.A01G036700 GOHIR.A01G073700 GOHIR.A01G094300 GOHIR.A01G094400 GOHIR.A01G122300 GOHIR.A01G192600 GOHIR.A01G205200 GOHIR.A02G040800 GOHIR.A02G080300 GOHIR.A02G086900 GOHIR.A02G156000 GOHIR.A02G179100 GOHIR.A03G016500 GOHIR.A03G036500 GOHIR.A03G074500 GOHIR.A03G190800 GOHIR.A03G199200 GOHIR.A04G004200 GOHIR.A04G022500 GOHIR.A04G053900 GOHIR.A04G079500 GOHIR.A04G082500 GOHIR.A04G123800 GOHIR.A05G023000 GOHIR.A05G077400 GOHIR.A05G099500 GOHIR.A05G167600 GOHIR.A05G185600 GOHIR.A05G188300 GOHIR.A05G204800 GOHIR.A05G218500 GOHIR.A05G219500 GOHIR.A05G236600 GOHIR.A05G327500 GOHIR.A05G411200 GOHIR.A06G006100 GOHIR.A06G025300 GOHIR.A06G032300 GOHIR.A06G032400 GOHIR.A07G066700 GOHIR.A07G126500 GOHIR.A08G031600 GOHIR.A08G082800 GOHIR.A08G118200 GOHIR.A08G241200 GOHIR.A09G047800 GOHIR.A09G062600 GOHIR.A09G067100 GOHIR.A09G129000 GOHIR.A09G140300 GOHIR.A09G194400 GOHIR.A09G238500 GOHIR.A10G016600 GOHIR.A10G080500 GOHIR.A10G109600 GOHIR.A10G131200 GOHIR.A10G164450 GOHIR.A10G164500 GOHIR.A10G202600 GOHIR.A11G005600 GOHIR.A11G081500 GOHIR.A11G177400 GOHIR.A11G195800 GOHIR.A11G206600 GOHIR.A11G210000 GOHIR.A11G257100 GOHIR.A11G264900 GOHIR.A11G271000 GOHIR.A11G295600 GOHIR.A11G307601 GOHIR.A12G060650 GOHIR.A12G085600 GOHIR.A12G199600 GOHIR.A12G205700 GOHIR.A12G222200 GOHIR.A12G228300 GOHIR.A12G256300 GOHIR.A12G267100 GOHIR.A13G031200 GOHIR.A13G090700 GOHIR.A13G110800 GOHIR.A13G135300 GOHIR.A13G189100 GOHIR.D01G003701 GOHIR.D01G024000 GOHIR.D01G052250 GOHIR.D01G060300 GOHIR.D01G078800 GOHIR.D01G078900 GOHIR.D01G109700 GOHIR.D01G136900 GOHIR.D01G177200 GOHIR.D01G194700 GOHIR.D02G046400 GOHIR.D02G088200 GOHIR.D02G091850 GOHIR.D02G117300 GOHIR.D02G211800 GOHIR.D02G220500 GOHIR.D03G000600 GOHIR.D03G024700 GOHIR.D03G063300 GOHIR.D03G101000 GOHIR.D03G131700 GOHIR.D03G151400 GOHIR.D04G004800 GOHIR.D04G097300 GOHIR.D04G118700 GOHIR.D04G121500 GOHIR.D04G165900 GOHIR.D05G024500 GOHIR.D05G080200 GOHIR.D05G099400 GOHIR.D05G166100 GOHIR.D05G170600 GOHIR.D05G188400 GOHIR.D05G191400 GOHIR.D05G208100 GOHIR.D05G221200 GOHIR.D05G222000 GOHIR.D05G238800 GOHIR.D05G327700 GOHIR.D05G364900 GOHIR.D05G385900 GOHIR.D06G001900 GOHIR.D06G019027 GOHIR.D06G022400 GOHIR.D06G031500 GOHIR.D06G031600 GOHIR.D06G085800 GOHIR.D06G144300 GOHIR.D07G037266 GOHIR.D07G071300 GOHIR.D07G130600 GOHIR.D08G042700 GOHIR.D08G092200 GOHIR.D08G139200 GOHIR.D08G261900 GOHIR.D09G049000 GOHIR.D09G061500 GOHIR.D09G066700 GOHIR.D09G125000 GOHIR.D09G134200 GOHIR.D09G188700 GOHIR.D09G239400 GOHIR.D10G016700 GOHIR.D10G070800 GOHIR.D10G135500 GOHIR.D10G157500 GOHIR.D10G170700 GOHIR.D10G210800 GOHIR.D11G004700 GOHIR.D11G086100 GOHIR.D11G181800 GOHIR.D11G185200 GOHIR.D11G201800 GOHIR.D11G213200 GOHIR.D11G217000 GOHIR.D11G267000 GOHIR.D11G275100 GOHIR.D11G281200 GOHIR.D11G311300 GOHIR.D11G323100 GOHIR.D12G060800 GOHIR.D12G078700 GOHIR.D12G083700 GOHIR.D12G224700 GOHIR.D12G230801 GOHIR.D12G257600 GOHIR.D12G267600 GOHIR.D13G029200 GOHIR.D13G113600 GOHIR.D13G115066 GOHIR.D13G139800 GOHIR.D13G196100 GOHIR.D13G226300 GOHIR.D13G230800"
"Kinesin complex","Down","Kinesin complex","-5.6978",178,1.6e-06,"GOHIR.A01G003700 GOHIR.A01G036700 GOHIR.A01G073700 GOHIR.A01G094300 GOHIR.A01G094400 GOHIR.A01G122300 GOHIR.A01G192600 GOHIR.A01G205200 GOHIR.A02G040800 GOHIR.A02G080300 GOHIR.A02G086900 GOHIR.A02G156000 GOHIR.A02G179100 GOHIR.A03G016500 GOHIR.A03G036500 GOHIR.A03G074500 GOHIR.A03G190800 GOHIR.A03G199200 GOHIR.A04G004200 GOHIR.A04G022500 GOHIR.A04G053900 GOHIR.A04G079500 GOHIR.A04G082500 GOHIR.A04G123800 GOHIR.A05G023000 GOHIR.A05G077400 GOHIR.A05G099500 GOHIR.A05G167600 GOHIR.A05G185600 GOHIR.A05G188300 GOHIR.A05G204800 GOHIR.A05G218500 GOHIR.A05G219500 GOHIR.A05G236600 GOHIR.A05G327500 GOHIR.A05G411200 GOHIR.A06G006100 GOHIR.A06G025300 GOHIR.A06G032300 GOHIR.A06G032400 GOHIR.A07G066700 GOHIR.A07G126500 GOHIR.A08G031600 GOHIR.A08G082800 GOHIR.A08G118200 GOHIR.A08G241200 GOHIR.A09G047800 GOHIR.A09G062600 GOHIR.A09G067100 GOHIR.A09G129000 GOHIR.A09G140300 GOHIR.A09G194400 GOHIR.A09G238500 GOHIR.A10G016600 GOHIR.A10G080500 GOHIR.A10G109600 GOHIR.A10G131200 GOHIR.A10G164450 GOHIR.A10G164500 GOHIR.A10G202600 GOHIR.A11G005600 GOHIR.A11G081500 GOHIR.A11G177400 GOHIR.A11G195800 GOHIR.A11G206600 GOHIR.A11G210000 GOHIR.A11G257100 GOHIR.A11G264900 GOHIR.A11G271000 GOHIR.A11G295600 GOHIR.A11G307601 GOHIR.A12G060650 GOHIR.A12G085600 GOHIR.A12G199600 GOHIR.A12G205700 GOHIR.A12G222200 GOHIR.A12G228300 GOHIR.A12G256300 GOHIR.A12G267100 GOHIR.A13G031200 GOHIR.A13G090700 GOHIR.A13G110800 GOHIR.A13G135300 GOHIR.A13G189100 GOHIR.D01G003701 GOHIR.D01G024000 GOHIR.D01G052250 GOHIR.D01G060300 GOHIR.D01G078800 GOHIR.D01G078900 GOHIR.D01G109700 GOHIR.D01G136900 GOHIR.D01G177200 GOHIR.D01G194700 GOHIR.D02G046400 GOHIR.D02G088200 GOHIR.D02G091850 GOHIR.D02G117300 GOHIR.D02G211800 GOHIR.D02G220500 GOHIR.D03G000600 GOHIR.D03G024700 GOHIR.D03G063300 GOHIR.D03G101000 GOHIR.D03G131700 GOHIR.D03G151400 GOHIR.D04G004800 GOHIR.D04G097300 GOHIR.D04G118700 GOHIR.D04G121500 GOHIR.D04G165900 GOHIR.D05G024500 GOHIR.D05G080200 GOHIR.D05G099400 GOHIR.D05G166100 GOHIR.D05G170600 GOHIR.D05G188400 GOHIR.D05G191400 GOHIR.D05G208100 GOHIR.D05G221200 GOHIR.D05G222000 GOHIR.D05G238800 GOHIR.D05G327700 GOHIR.D05G364900 GOHIR.D05G385900 GOHIR.D06G001900 GOHIR.D06G019027 GOHIR.D06G022400 GOHIR.D06G031500 GOHIR.D06G031600 GOHIR.D06G085800 GOHIR.D06G144300 GOHIR.D07G037266 GOHIR.D07G071300 GOHIR.D07G130600 GOHIR.D08G042700 GOHIR.D08G092200 GOHIR.D08G139200 GOHIR.D08G261900 GOHIR.D09G049000 GOHIR.D09G061500 GOHIR.D09G066700 GOHIR.D09G125000 GOHIR.D09G134200 GOHIR.D09G188700 GOHIR.D09G239400 GOHIR.D10G016700 GOHIR.D10G070800 GOHIR.D10G135500 GOHIR.D10G157500 GOHIR.D10G170700 GOHIR.D10G210800 GOHIR.D11G004700 GOHIR.D11G086100 GOHIR.D11G181800 GOHIR.D11G185200 GOHIR.D11G201800 GOHIR.D11G213200 GOHIR.D11G217000 GOHIR.D11G267000 GOHIR.D11G275100 GOHIR.D11G281200 GOHIR.D11G311300 GOHIR.D11G323100 GOHIR.D12G060800 GOHIR.D12G078700 GOHIR.D12G083700 GOHIR.D12G224700 GOHIR.D12G230801 GOHIR.D12G257600 GOHIR.D12G267600 GOHIR.D13G029200 GOHIR.D13G113600 GOHIR.D13G115066 GOHIR.D13G139800 GOHIR.D13G196100 GOHIR.D13G226300 GOHIR.D13G230800"
"Microtubule motor activity","Down","Microtubule motor activity","-5.6978",178,1.6e-06,"GOHIR.A01G003700 GOHIR.A01G036700 GOHIR.A01G073700 GOHIR.A01G094300 GOHIR.A01G094400 GOHIR.A01G122300 GOHIR.A01G192600 GOHIR.A01G205200 GOHIR.A02G040800 GOHIR.A02G080300 GOHIR.A02G086900 GOHIR.A02G156000 GOHIR.A02G179100 GOHIR.A03G016500 GOHIR.A03G036500 GOHIR.A03G074500 GOHIR.A03G190800 GOHIR.A03G199200 GOHIR.A04G004200 GOHIR.A04G022500 GOHIR.A04G053900 GOHIR.A04G079500 GOHIR.A04G082500 GOHIR.A04G123800 GOHIR.A05G023000 GOHIR.A05G077400 GOHIR.A05G099500 GOHIR.A05G167600 GOHIR.A05G185600 GOHIR.A05G188300 GOHIR.A05G204800 GOHIR.A05G218500 GOHIR.A05G219500 GOHIR.A05G236600 GOHIR.A05G327500 GOHIR.A05G411200 GOHIR.A06G006100 GOHIR.A06G025300 GOHIR.A06G032300 GOHIR.A06G032400 GOHIR.A07G066700 GOHIR.A07G126500 GOHIR.A08G031600 GOHIR.A08G082800 GOHIR.A08G118200 GOHIR.A08G241200 GOHIR.A09G047800 GOHIR.A09G062600 GOHIR.A09G067100 GOHIR.A09G129000 GOHIR.A09G140300 GOHIR.A09G194400 GOHIR.A09G238500 GOHIR.A10G016600 GOHIR.A10G080500 GOHIR.A10G109600 GOHIR.A10G131200 GOHIR.A10G164450 GOHIR.A10G164500 GOHIR.A10G202600 GOHIR.A11G005600 GOHIR.A11G081500 GOHIR.A11G177400 GOHIR.A11G195800 GOHIR.A11G206600 GOHIR.A11G210000 GOHIR.A11G257100 GOHIR.A11G264900 GOHIR.A11G271000 GOHIR.A11G295600 GOHIR.A11G307601 GOHIR.A12G060650 GOHIR.A12G085600 GOHIR.A12G199600 GOHIR.A12G205700 GOHIR.A12G222200 GOHIR.A12G228300 GOHIR.A12G256300 GOHIR.A12G267100 GOHIR.A13G031200 GOHIR.A13G090700 GOHIR.A13G110800 GOHIR.A13G135300 GOHIR.A13G189100 GOHIR.D01G003701 GOHIR.D01G024000 GOHIR.D01G052250 GOHIR.D01G060300 GOHIR.D01G078800 GOHIR.D01G078900 GOHIR.D01G109700 GOHIR.D01G136900 GOHIR.D01G177200 GOHIR.D01G194700 GOHIR.D02G046400 GOHIR.D02G088200 GOHIR.D02G091850 GOHIR.D02G117300 GOHIR.D02G211800 GOHIR.D02G220500 GOHIR.D03G000600 GOHIR.D03G024700 GOHIR.D03G063300 GOHIR.D03G101000 GOHIR.D03G131700 GOHIR.D03G151400 GOHIR.D04G004800 GOHIR.D04G097300 GOHIR.D04G118700 GOHIR.D04G121500 GOHIR.D04G165900 GOHIR.D05G024500 GOHIR.D05G080200 GOHIR.D05G099400 GOHIR.D05G166100 GOHIR.D05G170600 GOHIR.D05G188400 GOHIR.D05G191400 GOHIR.D05G208100 GOHIR.D05G221200 GOHIR.D05G222000 GOHIR.D05G238800 GOHIR.D05G327700 GOHIR.D05G364900 GOHIR.D05G385900 GOHIR.D06G001900 GOHIR.D06G019027 GOHIR.D06G022400 GOHIR.D06G031500 GOHIR.D06G031600 GOHIR.D06G085800 GOHIR.D06G144300 GOHIR.D07G037266 GOHIR.D07G071300 GOHIR.D07G130600 GOHIR.D08G042700 GOHIR.D08G092200 GOHIR.D08G139200 GOHIR.D08G261900 GOHIR.D09G049000 GOHIR.D09G061500 GOHIR.D09G066700 GOHIR.D09G125000 GOHIR.D09G134200 GOHIR.D09G188700 GOHIR.D09G239400 GOHIR.D10G016700 GOHIR.D10G070800 GOHIR.D10G135500 GOHIR.D10G157500 GOHIR.D10G170700 GOHIR.D10G210800 GOHIR.D11G004700 GOHIR.D11G086100 GOHIR.D11G181800 GOHIR.D11G185200 GOHIR.D11G201800 GOHIR.D11G213200 GOHIR.D11G217000 GOHIR.D11G267000 GOHIR.D11G275100 GOHIR.D11G281200 GOHIR.D11G311300 GOHIR.D11G323100 GOHIR.D12G060800 GOHIR.D12G078700 GOHIR.D12G083700 GOHIR.D12G224700 GOHIR.D12G230801 GOHIR.D12G257600 GOHIR.D12G267600 GOHIR.D13G029200 GOHIR.D13G113600 GOHIR.D13G115066 GOHIR.D13G139800 GOHIR.D13G196100 GOHIR.D13G226300 GOHIR.D13G230800"
"DNA replication","Down","DNA replication","-4.7104",90,0.00031,"GOHIR.A01G051100 GOHIR.A01G078100 GOHIR.A01G168100 GOHIR.A01G215900 GOHIR.A02G125300 GOHIR.A02G137100 GOHIR.A03G070300 GOHIR.A03G218100 GOHIR.A04G043100 GOHIR.A04G055778 GOHIR.A04G134500 GOHIR.A05G003900 GOHIR.A05G082500 GOHIR.A05G149600 GOHIR.A05G199800 GOHIR.A05G311350 GOHIR.A05G395800 GOHIR.A07G040800 GOHIR.A07G208800 GOHIR.A08G207500 GOHIR.A09G002700 GOHIR.A09G183200 GOHIR.A10G039500 GOHIR.A10G219500 GOHIR.A11G089700 GOHIR.A11G109800 GOHIR.A11G193200 GOHIR.A11G223600 GOHIR.A11G225900 GOHIR.A11G319200 GOHIR.A11G326200 GOHIR.A12G016000 GOHIR.A12G202700 GOHIR.A12G253600 GOHIR.A13G001000 GOHIR.A13G031400 GOHIR.A13G035800 GOHIR.A13G074000 GOHIR.A13G185700 GOHIR.A13G185900 GOHIR.A13G191600 GOHIR.D01G040900 GOHIR.D01G065200 GOHIR.D01G124400 GOHIR.D01G159100 GOHIR.D01G204700 GOHIR.D02G106100 GOHIR.D02G123750 GOHIR.D02G240100 GOHIR.D03G047800 GOHIR.D03G055100 GOHIR.D03G074850 GOHIR.D03G096700 GOHIR.D04G019200 GOHIR.D04G090500 GOHIR.D04G177700 GOHIR.D05G004300 GOHIR.D05G085400 GOHIR.D05G152200 GOHIR.D05G202800 GOHIR.D05G312350 GOHIR.D05G340400 GOHIR.D07G045000 GOHIR.D07G214700 GOHIR.D08G140250 GOHIR.D08G224100 GOHIR.D09G002500 GOHIR.D09G120150 GOHIR.D09G177900 GOHIR.D10G040300 GOHIR.D10G137766 GOHIR.D10G229000 GOHIR.D11G094000 GOHIR.D11G114800 GOHIR.D11G200300 GOHIR.D11G226900 GOHIR.D11G234500 GOHIR.D11G338500 GOHIR.D11G345100 GOHIR.D12G016300 GOHIR.D12G080700 GOHIR.D12G205400 GOHIR.D12G255900 GOHIR.D13G029400 GOHIR.D13G034100 GOHIR.D13G074100 GOHIR.D13G162800 GOHIR.D13G192200 GOHIR.D13G192600 GOHIR.D13G197000"
