"","A68_Root_FlightVsGround","A68_Shoot_FlightVsGround","D130_Root_FlightVsGround","D130_Shoot_FlightVsGround","WT_Root_FlightVsGround","WT_Shoot_FlightVsGround"
"Biotic",Inf,-24.4268468213125,Inf,-0.713043732469565,Inf,Inf
"UV",-33.386410719693,15.7564724035485,-28.3022747860141,4.60823480436221,-46.3417669244956,-0.146166247360142
"Drought",18.8455703785875,-12.2967591284284,19.468676599206,10.7163671409324,0.809698084437367,2.10176996146274
"Biotic.Drought",22.3713196803867,-23.4259167998005,19.7686674738333,2.76341736560619,3.07868733082435,0.650157393191633
"Biotic.Biotic",-35.4180139505459,-95.536853710995,-5.19732367019396,-7.62937637887272,17.4980004378019,17.8553490972149
"Drought.Biotic",-66.8460687778385,-23.126308070631,-24.3328690301564,1.36281773131814,-9.0334473040172,-0.86449761053921
"Hormone",Inf,-33.2714775726905,27.9780221375662,-37.9992576103138,Inf,1.51609853099875
