"module","r_Flight","r_AVPOX","r_total_length_native","r_n_lateral","n_genes","n_hub_growth"
"blue",-0.962,-0.093,-0.964,-0.946,1767,1444
"turquoise",0.989,0.061,0.952,0.923,1963,1678
"yellow",0.702,-0.103,0.754,0.763,68,21
"green",-0.704,0.412,-0.497,-0.434,38,0
"brown",0.745,-0.486,0.462,0.376,1046,0
"grey",-0.161,0.48,-0.109,-0.096,118,0
