"gene","module","MM_own","GS_growth"
"Gohir.A01G050800","turquoise",0.854694398750947,0.98685157703346
"Gohir.D10G217500","turquoise",0.896773178464439,0.986448096307275
"Gohir.D05G250400","turquoise",0.794624958444854,0.986383943110739
"Gohir.D05G071101","blue",0.860038321490235,-0.986381175085554
"Gohir.A04G023733","turquoise",0.848984025797843,0.98614141009547
"Gohir.D12G142800","turquoise",0.855338427989513,0.985948383311651
"Gohir.D07G113400","turquoise",0.920419407536958,0.9859291789306
"Gohir.A06G023900","turquoise",0.919663620203944,0.985635427336998
"Gohir.A05G273400","turquoise",0.962705806009782,0.985540025698628
"Gohir.A06G113300","turquoise",0.943537259722577,0.985459331541916
"Gohir.D03G172300","turquoise",0.919896781075296,0.985176957452739
"Gohir.D09G111200","turquoise",0.942679010613035,0.985004634792778
"Gohir.D10G207100","turquoise",0.825742755745899,0.984941121348987
"Gohir.D06G056200","turquoise",0.872267086323267,0.984868039381339
"Gohir.D05G261700","turquoise",0.888244285062524,0.984825288287343
"Gohir.A05G069200","turquoise",0.523699856107176,0.984659783216169
"Gohir.D07G021300","blue",0.970442282742028,-0.984638718510507
"Gohir.D13G124400","turquoise",0.854806969914159,0.984540327039587
"Gohir.A04G147300","turquoise",0.822449670693458,0.984478281959099
"Gohir.D06G218100","turquoise",0.537891391520318,0.984374819497237
"Gohir.D03G054000","turquoise",0.869371318633541,0.984234592867704
"Gohir.D05G201200","turquoise",0.80677192886988,0.984123863707926
"Gohir.D05G159300","turquoise",0.666465743739538,0.984123710300692
"Gohir.A07G046200","turquoise",0.70579570490874,0.984063607609019
"Gohir.D04G165600","turquoise",0.722154101470874,0.983919570643895
"Gohir.A13G130500","blue",0.913019509201895,-0.98386814239389
"Gohir.D02G126800","turquoise",0.801538761434174,0.983670524368266
"Gohir.D06G184800","turquoise",0.920742464154219,0.98364496466224
"Gohir.D11G025651","blue",0.927203355850705,-0.98351623131639
"Gohir.A11G019800","blue",0.955688831399294,-0.983425674339576
"Gohir.D11G025400","blue",0.957222653849841,-0.983352779441501
"Gohir.A07G209000","blue",0.787698828801254,-0.983192679767854
"Gohir.A05G242700","turquoise",0.913383032664497,0.983088128979355
"Gohir.D12G225250","blue",0.938851412846062,-0.982718670207245
"Gohir.A11G007900","blue",0.928919958156016,-0.982643640226554
"Gohir.A12G138500","turquoise",0.868800234366605,0.982479999758516
"Gohir.A05G189600","blue",0.921423782349614,-0.982397767088769
"Gohir.D13G007600","turquoise",0.8490131382959,0.982333878070751
"Gohir.A10G144400","turquoise",0.838984719566679,0.982087838674277
"Gohir.A08G134900","turquoise",0.889748436538844,0.982030579469254
"Gohir.D05G236500","turquoise",0.901181424395169,0.982023842763282
"Gohir.A13G058400","turquoise",0.729145221104622,0.981969981483546
"Gohir.A03G204000","turquoise",0.609543709620139,0.981912806412325
"Gohir.D01G042742","turquoise",0.887866659639032,0.981910314805177
"Gohir.D06G084400","turquoise",0.957685430785001,0.981856875463302
"Gohir.A04G054200","turquoise",0.857366080104577,0.981777383146088
"Gohir.D05G102000","turquoise",0.832368489203904,0.981732413560622
"Gohir.D04G161500","blue",0.853067294465095,-0.981721604385321
"Gohir.D09G057950","turquoise",0.756298536233573,0.981547147357562
"Gohir.D05G082600","turquoise",0.863883204971453,0.981543150115324
"Gohir.A02G022100","turquoise",0.89296021765711,0.981529649296089
"Gohir.D12G178900","turquoise",0.861998106343853,0.981498149471383
"Gohir.A05G288400","turquoise",0.917655516296503,0.981496947146027
"Gohir.A03G040400","turquoise",0.949777039005978,0.981493010398237
"Gohir.D11G045900","turquoise",0.954898882679943,0.981456878430187
"Gohir.D09G109200","turquoise",0.816677045710965,0.981439131478293
"Gohir.D02G149100","turquoise",0.928156247062793,0.981400402985669
"Gohir.D02G181200","turquoise",0.70913750464753,0.981314613862431
"Gohir.D02G021700","blue",0.812475088308097,-0.981309375375415
"Gohir.D03G020750","blue",0.892540101256545,-0.981303362331128
"Gohir.A02G066300","blue",0.824948537267515,-0.98129608619409
"Gohir.A05G405000","blue",0.750076647465248,-0.981059573487855
"Gohir.D10G139800","turquoise",0.823963846696094,0.980950621110503
"Gohir.A11G148700","blue",0.910878576572633,-0.980932650867469
"Gohir.A02G145000","turquoise",0.941425195033781,0.98092162355946
"Gohir.D02G062400","blue",0.95349229106414,-0.980772079141488
"Gohir.A03G103000","turquoise",0.925418281384412,0.980672639315727
"Gohir.A01G220400","turquoise",0.912085024490248,0.980635020507625
"Gohir.D07G091400","blue",0.969713093901145,-0.980629263769416
"Gohir.D09G051800","blue",0.857884228372448,-0.980621861350872
"Gohir.A07G141500","turquoise",0.945060262872099,0.98052639846269
"Gohir.A11G257600","blue",0.931154481891005,-0.980457088728622
"Gohir.D04G001100","turquoise",0.886439930416506,0.980418491959328
"Gohir.D10G243300","turquoise",0.927886566787323,0.980360570935878
"Gohir.D01G043100","turquoise",0.911058364790818,0.980332601193191
"Gohir.A07G052400","turquoise",0.875123010837228,0.980301994188596
"Gohir.D05G236400","turquoise",0.925117486727775,0.980228180525917
"Gohir.D06G024000","blue",0.97614989193393,-0.980205002226888
"Gohir.D12G072500","blue",0.970417625555971,-0.980171489236756
"Gohir.A03G208900","blue",0.949837354863273,-0.979962600132567
"Gohir.A07G096300","turquoise",0.609587707212001,0.979831077416865
"Gohir.A04G131500","turquoise",0.618153137027233,0.979706304894452
"Gohir.A13G064900","turquoise",0.887656849835117,0.979680068779496
