"module","r_Flight","p_Flight","r_AVPOX","p_AVPOX","r_total_length_native","p_total_length_native","r_primary_length_native","p_primary_length_native","r_n_lateral","p_n_lateral"
"blue",-0.962,0.0021,-0.093,0.86,-0.964,0.0019,-0.628,0.18,-0.946,0.0043
"green",-0.704,0.12,0.412,0.42,-0.497,0.32,0.1,0.85,-0.434,0.39
"yellow",0.702,0.12,-0.103,0.85,0.754,0.083,0.524,0.29,0.763,0.078
"brown",0.745,0.089,-0.486,0.33,0.462,0.36,-0.21,0.69,0.376,0.46
"turquoise",0.989,0.00017,0.061,0.91,0.952,0.0034,0.552,0.26,0.923,0.0087
"grey",-0.161,0.76,0.48,0.34,-0.109,0.84,0.101,0.85,-0.096,0.86
