"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003735","structural constituent of ribosome","46/432","181/14665",0.25414364640884,8.62735318191119,17.9882436226908,2.42329841046289e-30,8.28768056378308e-28,5.06450229098078e-28,"RPS9M/uS4y/eS4x/ATRPS5B/eL22z/uL15x/ARP1/uS5y/eL31x/eL18y/emb2171/eL15z/eS12y/SAC56/uL10z/mS29/bL25mz/uL2x/eL27x/eS4z/eS8y/eL6x/uL24z/bL17c/bL21m/uL13w/eS24y/ATRPS13A/eS10z/ATBBC1/RPL23A2/uS10y/eL19z/bL28m/PGY2/ARP2/RPS11-BETA/ATL5/bL25my/uL24m/eS19x/uS19y/eL24z/uL29w/RPL3P/OLI7",46
"GO:0005198","structural molecule activity","46/432","264/14665",0.174242424242424,5.9149656285073,14.039317573117,7.66743807447726e-23,1.31113191073561e-20,8.01217000896021e-21,"RPS9M/uS4y/eS4x/ATRPS5B/eL22z/uL15x/ARP1/uS5y/eL31x/eL18y/emb2171/eL15z/eS12y/SAC56/uL10z/mS29/bL25mz/uL2x/eL27x/eS4z/eS8y/eL6x/uL24z/bL17c/bL21m/uL13w/eS24y/ATRPS13A/eS10z/ATBBC1/RPL23A2/uS10y/eL19z/bL28m/PGY2/ARP2/RPS11-BETA/ATL5/bL25my/uL24m/eS19x/uS19y/eL24z/uL29w/RPL3P/OLI7",46
"GO:0030515","snoRNA binding","8/432","19/14665",0.421052631578947,14.2933723196881,10.1011850870494,3.02184256125683e-08,3.44490051983278e-06,2.10513743147095e-06,"NA/NA/YAO/NOP56/NOF1/ATFIB2/NA/NA",8
"GO:0019843","rRNA binding","11/432","51/14665",0.215686274509804,7.32185003631082,7.87888208263707,2.10169143314795e-07,1.7969461753415e-05,1.09809227705466e-05,"uS4y/ATRPS5B/PPAN/uL10z/bL25mz/ATRPS13A/NOF1/ATL5/bL25my/atBRX1-1/OLI7",11
"GO:0044183","protein folding chaperone","7/432","39/14665",0.179487179487179,6.09300807217474,5.54834883535954,0.000124669908815054,0.00852742176294966,0.00521100526525413,"MDO1/AT-HSC70-1/HSP60/BIP/Cpn60beta2/HSC70-5/HSP60-3A",7
"GO:0140657","ATP-dependent activity","29/432","494/14665",0.0587044534412955,1.99282594841805,3.91071547111054,0.000339465373908954,0.0193495263128104,0.0118242636870996,"NA/AtPMS1/UAP56b/AtHsp90.4/ATAD3B1/ABCC8/ACA3/AtMORC4/ABCG40/AT-HSC70-1/PCH2/HSP60/BIP/PDE340/MDH/ABCG8/Cpn60beta2/NA/AtGET3b/ABCB11/ATUBA2/HSC70-5/RH52/NA/ATRH1/ATAD3A1/ABCG5/AHA11/HSP60-3A",29
"GO:0008097","5S rRNA binding","4/432","14/14665",0.285714285714286,9.69907407407407,5.67313720763657,0.000587740759227644,0.0287153342365506,0.0175475966898156,"bL25mz/ATL5/bL25my/OLI7",4
"GO:0016168","chlorophyll binding","4/432","16/14665",0.25,8.48668981481481,5.21994246944878,0.00101978261015759,0.0435957065842372,0.0266408139374536,"CAB4/CP22/AB140/LHCB2",4
