"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Translation","ath03010","Ribosome","134/677","205/3721",0.653658536585366,3.59270814569298,18.0073418681501,7.62141035361598e-54,9.2981206314115e-52,9.2981206314115e-52,"AT3G59650/AT4G33865/AT5G39600/AT4G23620/AT5G18790/AT4G25740/AT1G07070/AT5G58420/AT2G17360/AT3G49080/AT3G04770/AT5G56710/AT5G04800/AT1G74970/AT3G44590/AT5G39850/AT4G15000/AT5G09500/AT5G23740/AT3G10950/AT5G20180/AT1G26750/AT5G44710/AT1G26880/AT4G25890/AT1G15250/AT1G74050/AT4G39200/AT5G46160/AT3G52590/AT3G04400/AT4G00100/AT5G02960/AT2G41840/AT2G37270/AT1G23290/AT1G74270/AT3G09630/AT5G28060/AT3G18880/AT1G48830/AT5G62270/AT5G03850/AT3G59540/AT3G18760/AT2G34480/AT3G52580/AT5G35530/AT4G30930/AT1G57860/AT3G05560/AT2G19740/AT5G56670/AT5G09770/AT5G48760/AT2G40590/AT1G08360/AT4G31460/AT4G31985/AT5G15220/AT3G57490/AT4G27090/AT1G09690/AT3G17465/AT3G25520/AT1G48630/AT3G13882/AT4G16720/AT3G06680/AT3G62870/AT3G47370/AT5G02610/AT2G09990/AT4G09800/AT2G19730/AT4G36420/AT5G45775/AT5G40080/AT5G61170/AT2G40010/AT5G24510/AT3G26360/AT4G37660/AT4G36130/AT5G64650/AT1G70600/AT3G11510/AT1G48350/AT3G16080/AT1G36240/AT5G22440/AT5G66860/AT5G59850/AT3G49010/AT2G20060/AT3G16780/AT3G49910/AT5G10360/AT2G36620/AT1G43170/AT4G29410/AT1G26910/AT5G27395/AT5G59240/AT1G59359/AT1G17080/AT1G27400/AT5G53070/AT4G14320/AT5G47320/AT5G64670/AT5G27700/AT1G61580/AT1G64880/AT1G14620/AT3G05590/AT3G55280/AT3G53740/AT1G26740/AT5G39740/AT2G32060/AT5G60670/AT3G01790/AT3G61110/AT4G18100/AT4G10450/AT5G23535/AT1G07830/AT3G13580/AT1G67430/AT1G33140/AT4G34670/AT2G47110/AT5G09510",134
"Metabolism","Lipid metabolism","ath00100","Steroid biosynthesis","14/677","21/3721",0.666666666666667,3.66420482520926,5.77324351101488,1.26590048411759e-06,7.72199295311727e-05,7.72199295311727e-05,"AT1G50430/AT1G11680/AT2G26260/AT2G07050/AT1G20330/AT1G58440/AT3G52940/AT1G20050/AT5G13710/AT5G50375/AT4G12110/AT1G07420/AT3G19820/AT3G02580",14
"Metabolism","Biosynthesis of other secondary metabolites","ath00941","Flavonoid biosynthesis","10/677","16/3721",0.625,3.43519202363368,4.60301699086621,0.00010375913828984,0.00340213858617024,0.00340213858617024,"AT5G08640/AT5G13930/AT5G48930/AT4G22880/AT5G42800/AT3G51240/AT5G07990/AT3G55120/AT5G05270/AT1G61720",10
"Metabolism","Global and overview maps","ath01230","Biosynthesis of amino acids","49/677","163/3721",0.300613496932515,1.65226413897473,4.01566811754665,0.000111545527415418,0.00340213858617024,0.00340213858617024,"AT5G16290/AT5G05730/AT5G17920/AT3G04120/AT1G69370/AT4G32520/AT3G47340/AT5G11880/AT1G48850/AT3G55610/AT4G34200/AT4G01850/AT3G58610/AT5G52920/AT3G17390/AT1G18640/AT5G08570/AT1G80560/AT3G12780/AT4G29840/AT1G75330/AT3G22960/AT5G56350/AT1G80600/AT3G08590/AT1G14810/AT3G23940/AT2G35390/AT4G24830/AT2G36880/AT2G36530/AT4G39120/AT3G52930/AT1G09780/AT5G14590/AT5G37600/AT2G37500/AT2G29560/AT4G33680/AT1G79550/AT4G13930/AT2G45440/AT3G02020/AT2G45300/AT4G26270/AT1G13440/AT1G09795/AT2G17630/AT2G22250",49
"Metabolism","Energy metabolism","ath00190","Oxidative phosphorylation","28/677","87/3721",0.32183908045977,1.7689264673424,3.42212173909155,0.00104755142644704,0.0255602548053079,0.0255602548053079,"AT5G09650/AT1G65290/AT3G15352/AT5G47030/AT4G38510/AT5G18800/AT1G01050/AT4G37830/AT3G52730/AT4G10040/AT4G02620/AT5G08530/AT3G01390/AT1G17260/AT4G39080/AT2G44620/AT1G22840/AT5G47890/AT1G80230/AT1G12840/AT5G62670/AT5G25450/AT1G19910/AT5G40810/AT5G13430/AT4G29480/AT4G26210/AT1G15120",28
"Metabolism","Metabolism of cofactors and vitamins","ath00670","One carbon pool by folate","14/677","35/3721",0.4,2.19852289512555,3.35927974735016,0.00201921429830376,0.0369641606321664,0.0369641606321664,"AT4G33010/AT4G32520/AT2G44160/AT4G01850/AT3G17390/AT2G35040/AT3G16950/AT2G36880/AT2G35370/AT1G11860/AT4G13940/AT4G13930/AT4G00620/AT2G35120",14
"Metabolism","Global and overview maps","ath01250","Biosynthesis of nucleotide sugars","23/677","70/3721",0.328571428571429,1.80592952099599,3.20984194484595,0.00212089446250135,0.0369641606321664,0.0369641606321664,"AT2G19860/AT5G15490/AT3G08900/AT4G00110/AT3G03250/AT1G63000/AT4G10960/AT1G66430/AT1G08200/AT3G62830/AT2G45790/AT3G46440/AT3G02230/AT5G56640/AT1G27680/AT1G14520/AT1G78570/AT3G54690/AT3G29360/AT3G51160/AT5G52560/AT1G23190/AT5G48300",23
