"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Environmental adaptation","ath04626","Plant-pathogen interaction","32/265","132/3721",0.242424242424242,3.40400228702116,7.78650654411437,2.39761282101807e-10,2.25375605175699e-08,2.25375605175699e-08,"AT5G51060/AT3G45640/AT2G34930/AT1G76650/AT5G37780/AT5G53130/AT2G41410/AT5G47910/AT3G10660/AT1G21550/AT4G01370/AT1G12220/AT2G43290/AT2G26640/AT5G49480/AT4G01010/AT4G26470/AT1G04220/AT3G57530/AT3G25070/AT3G62220/AT4G08500/AT2G38470/AT5G24430/AT3G17700/AT5G66210/AT4G33430/AT1G66400/AT2G17290/AT3G50770/AT4G01250/AT3G48080",32
"Environmental Information Processing","Signal transduction","ath04075","Plant hormone signal transduction","45/265","248/3721",0.181451612903226,2.54785453438831,6.98571932708509,1.36729149738862e-09,6.42627003772651e-08,6.42627003772651e-08,"AT3G45640/AT1G72450/AT5G62000/AT5G57560/AT2G24520/AT5G37780/AT3G17860/AT1G32640/AT2G02220/AT3G10660/AT3G60690/AT3G12250/AT5G42340/AT1G77920/AT3G23240/AT5G49480/AT5G43700/AT5G61270/AT1G19180/AT4G35900/AT5G62670/AT3G57530/AT1G27320/AT2G14960/AT4G22620/AT4G26080/AT4G16110/AT5G24430/AT5G13220/AT2G41310/AT1G74950/AT4G28640/AT5G53160/AT2G46370/AT5G66210/AT1G08320/AT4G33950/AT5G20900/AT5G42750/AT3G44735/AT4G33430/AT3G49780/AT2G17290/AT1G28130/AT3G54850",45
"Metabolism","Metabolism of terpenoids and polyketides","ath00908","Zeatin biosynthesis","9/265","20/3721",0.45,6.31867924528302,6.60338768277309,3.44853573704764e-06,0.000108054119760826,0.000108054119760826,"AT1G22380/AT5G21482/AT2G36750/AT2G36760/AT2G36800/AT1G22400/AT3G63440/AT2G36780/AT1G22360",9
"Environmental Information Processing","Signal transduction","ath04016","MAPK signaling pathway - plant","18/265","88/3721",0.204545454545455,2.8721269296741,4.92097850009598,3.19678997707992e-05,0.000751245644613782,0.000751245644613782,"AT5G51060/AT3G45640/AT5G37780/AT1G32640/AT1G63700/AT4G11280/AT5G47910/AT4G01370/AT4G13000/AT3G23240/AT5G49480/AT4G26080/AT4G08500/AT2G38470/AT5G53160/AT4G33950/AT4G33430/AT4G01250",18
"Metabolism","Lipid metabolism","ath00592","alpha-Linolenic acid metabolism","9/265","27/3721",0.333333333333333,4.68050314465409,5.31432572563638,6.16375837060567e-05,0.00115878657367387,0.00115878657367387,"AT4G16760/AT4G13010/AT1G13280/AT1G17420/AT5G42650/AT2G06050/AT1G64710/AT1G20510/AT2G33150",9
"Environmental Information Processing","Signal transduction","ath04070","Phosphatidylinositol signaling system","10/265","46/3721",0.217391304347826,3.05250205086136,3.87829985394084,0.00116200714091306,0.0166518539049829,0.0166518539049829,"AT5G63980/AT4G08170/AT2G20900/AT5G07920/AT5G37780/AT4G30340/AT3G08510/AT5G58690/AT5G49480/AT3G14270",10
"Metabolism","Biosynthesis of other secondary metabolites","ath00966","Glucosinolate biosynthesis","5/265","13/3721",0.384615384615385,5.40058055152395,4.40067532807949,0.00141145871790969,0.0166518539049829,0.0166518539049829,"AT1G24100/AT1G10070/AT1G18590/AT5G05260/AT1G74100",5
"Metabolism","Lipid metabolism","ath00564","Glycerophospholipid metabolism","13/265","72/3721",0.180555555555556,2.53527253668763,3.64227168606693,0.00141717905574323,0.0166518539049829,0.0166518539049829,"AT3G15650/AT3G07690/AT2G20900/AT5G07920/AT4G30340/AT3G11430/AT2G41540/AT4G00400/AT2G42010/AT4G01950/AT2G32260/AT1G71697/AT3G02600",13
"Metabolism","Lipid metabolism","ath00561","Glycerolipid metabolism","10/265","54/3721",0.185185185185185,2.60027952480783,3.27978075739059,0.00410961088789381,0.0429226026068909,0.0429226026068909,"AT5G08370/AT2G20900/AT5G07920/AT4G30340/AT3G11430/AT1G48300/AT4G00400/AT4G01950/AT4G31780/AT3G02600",10
NA,NA,"ath00999","Biosynthesis of various plant secondary metabolites","7/265","31/3721",0.225806451612903,3.17066342057212,3.36021983858256,0.00511686604109848,0.0480985407863257,0.0480985407863257,"AT5G36110/AT2G44480/AT1G26560/AT1G78950/AT1G61820/AT1G55290/AT4G31940",7
