"PC","pct_var","p_Treatment","p_Genotype","p_Tissue"
"PC1",92.5,0.0525930546052599,0.898397321348067,2.87711982910398e-09
"PC2",1.7,6.31067943714378e-06,0.916627989246964,0.836637402400607
"PC3",1,0.00341160303436368,0.538857796413406,0.757097296022135
"PC4",0.6,0.0796585890636163,0.70594758552263,0.606209739295331
"PC5",0.5,0.180155172694062,0.176510484871862,0.302548968453416
