"term","up","down","total"
"TreatmentFlight.TissueShoot",1670,1704,3374
"TreatmentFlight.GenotypeA68",2,60,62
"TreatmentFlight.GenotypeD130",0,20,20
"GenotypeD130.TissueShoot",1,4,5
"GenotypeA68.TissueShoot",1,0,1
"TreatmentFlight.GenotypeA68.TissueShoot",0,1,1
"TreatmentFlight.GenotypeD130.TissueShoot",1,0,1
