count_col_index,count_col_label,library_id,genotype,tissue,treatment,replicate,seq_sample,lane,strain,modification
1,A68RootFlight,A68R-F1_S5_L004,A68,Root,Flight,1,S5,L004,Coker 32,AVP-OX
2,A68RootFlight,A68R-F2_S6_L004,A68,Root,Flight,2,S6,L004,Coker 32,AVP-OX
3,A68RootFlight,A68R-F3_S7_L004,A68,Root,Flight,3,S7,L004,Coker 32,AVP-OX
4,A68RootFlight,A68R-F4_S8_L004,A68,Root,Flight,4,S8,L004,Coker 32,AVP-OX
5,A68RootGround,A68R-G1_S9_L004,A68,Root,Ground,1,S9,L004,Coker 32,AVP-OX
6,A68RootGround,A68R-G2_S10_L004,A68,Root,Ground,2,S10,L004,Coker 32,AVP-OX
7,A68RootGround,A68R-G3_S11_L004,A68,Root,Ground,3,S11,L004,Coker 32,AVP-OX
8,A68RootGround,A68R-G4_S12_L004,A68,Root,Ground,4,S12,L004,Coker 32,AVP-OX
9,A68ShootFlight,A68S-F1_S13_L004,A68,Shoot,Flight,1,S13,L004,Coker 32,AVP-OX
10,A68ShootFlight,A68S-F2_S14_L004,A68,Shoot,Flight,2,S14,L004,Coker 32,AVP-OX
11,A68ShootFlight,A68S-F3_S15_L004,A68,Shoot,Flight,3,S15,L004,Coker 32,AVP-OX
12,A68ShootFlight,A68S-F4_S16_L004,A68,Shoot,Flight,4,S16,L004,Coker 32,AVP-OX
13,A68ShootGround,A68S-G1_S17_L004,A68,Shoot,Ground,1,S17,L004,Coker 32,AVP-OX
14,A68ShootGround,A68S-G2_S18_L004,A68,Shoot,Ground,2,S18,L004,Coker 32,AVP-OX
15,A68ShootGround,A68S-G3_S19_L004,A68,Shoot,Ground,3,S19,L004,Coker 32,AVP-OX
16,A68ShootGround,A68S-G4_S20_L004,A68,Shoot,Ground,4,S20,L004,Coker 32,AVP-OX
17,D130RootFlight,D130R-F1_S21_L004,D130,Root,Flight,1,S21,L004,Coker 32,AVP-OX
18,D130RootFlight,D130R-F2_S22_L004,D130,Root,Flight,2,S22,L004,Coker 32,AVP-OX
19,D130RootFlight,D130R-F3_S23_L004,D130,Root,Flight,3,S23,L004,Coker 32,AVP-OX
20,D130RootFlight,D130R-F4_S24_L004,D130,Root,Flight,4,S24,L004,Coker 32,AVP-OX
21,D130RootGround,D130R-G1_S25_L004,D130,Root,Ground,1,S25,L004,Coker 32,AVP-OX
22,D130RootGround,D130R-G2_S26_L004,D130,Root,Ground,2,S26,L004,Coker 32,AVP-OX
23,D130RootGround,D130R-G3_S27_L004,D130,Root,Ground,3,S27,L004,Coker 32,AVP-OX
24,D130RootGround,D130R-G4_S28_L004,D130,Root,Ground,4,S28,L004,Coker 32,AVP-OX
25,D130ShootFlight,D130S-F1_S29_L004,D130,Shoot,Flight,1,S29,L004,Coker 32,AVP-OX
26,D130ShootFlight,D130S-F2_S30_L004,D130,Shoot,Flight,2,S30,L004,Coker 32,AVP-OX
27,D130ShootFlight,D130S-F3_S31_L004,D130,Shoot,Flight,3,S31,L004,Coker 32,AVP-OX
28,D130ShootFlight,D130S-F4_S32_L004,D130,Shoot,Flight,4,S32,L004,Coker 32,AVP-OX
29,D130ShootGround,D130S-G1_S33_L004,D130,Shoot,Ground,1,S33,L004,Coker 32,AVP-OX
30,D130ShootGround,D130S-G2_S34_L004,D130,Shoot,Ground,2,S34,L004,Coker 32,AVP-OX
31,D130ShootGround,D130S-G3_S35_L004,D130,Shoot,Ground,3,S35,L004,Coker 32,AVP-OX
32,D130ShootGround,D130S-G4_S36_L004,D130,Shoot,Ground,4,S36,L004,Coker 32,AVP-OX
33,WTRootFlight,WTR-F1_S37_L004,WT,Root,Flight,1,S37,L004,Coker 32,NA
34,WTRootFlight,WTR-F2_S38_L004,WT,Root,Flight,2,S38,L004,Coker 32,NA
35,WTRootFlight,WTR-F3_S39_L004,WT,Root,Flight,3,S39,L004,Coker 32,NA
36,WTRootFlight,WTR-F4_S40_L004,WT,Root,Flight,4,S40,L004,Coker 32,NA
37,WTRootGround,WTR-G1_S41_L004,WT,Root,Ground,1,S41,L004,Coker 32,NA
38,WTRootGround,WTR-G2_S42_L004,WT,Root,Ground,2,S42,L004,Coker 32,NA
39,WTRootGround,WTR-G3_S43_L004,WT,Root,Ground,3,S43,L004,Coker 32,NA
40,WTRootGround,WTR-G4_S44_L004,WT,Root,Ground,4,S44,L004,Coker 32,NA
41,WTShootFlight,WTS-F1_S45_L004,WT,Shoot,Flight,1,S45,L004,Coker 32,NA
42,WTShootFlight,WTS-F2_S46_L004,WT,Shoot,Flight,2,S46,L004,Coker 32,NA
43,WTShootFlight,WTS-F3_S47_L004,WT,Shoot,Flight,3,S47,L004,Coker 32,NA
44,WTShootFlight,WTS-F4_S48_L004,WT,Shoot,Flight,4,S48,L004,Coker 32,NA
45,WTShootGround,WTS-G1_S49_L004,WT,Shoot,Ground,1,S49,L004,Coker 32,NA
46,WTShootGround,WTS-G2_S50_L004,WT,Shoot,Ground,2,S50,L004,Coker 32,NA
47,WTShootGround,WTS-G3_S51_L004,WT,Shoot,Ground,3,S51,L004,Coker 32,NA
48,WTShootGround,WTS-G4_S52_L004,WT,Shoot,Ground,4,S52,L004,Coker 32,NA
