sample,genotype,plant,condition,day,n_roots,n_primary,n_lateral,total_length_native,primary_length_native,total_length_px,mean_diameter_px,resolution_px_per_unit,unit
A68_a12_FL_3,A68,a12,FL,3,1,1,0,40.1241,40.1241,598.52,18.078,37.888332,inch
A68_a12_FL_4,A68,a12,FL,4,8,1,7,81.6848,55.3834,1218.46,10.662,37.888332,inch
A68_a12_FL_5,A68,a12,FL,5,12,1,11,352.3875,55.3834,5256.45,12.839,37.888332,inch
A68_a12_FL_6,A68,a12,FL,6,15,1,14,590.9712,69.9844,9173.57,10.584,37.888332,inch
A68_a4_GC_3,A68,a4,GC,3,1,1,0,77.1696,77.1696,1151.11,36.488,37.888332,inch
A68_a4_GC_4,A68,a4,GC,4,1,1,0,111.0192,111.0192,1656.04,34.516,37.888332,inch
A68_a4_GC_5,A68,a4,GC,5,1,1,0,121.8972,121.8972,1818.3,8.146,37.888332,inch
A68_a4_GC_6,A68,a4,GC,6,2,2,0,148.8189,148.8189,2416.75,17.338,37.888332,inch
A68_b12_GC_3,A68,b12,GC,3,1,1,0,44.3046,44.3046,660.88,44.661,37.888332,inch
A68_b12_GC_4,A68,b12,GC,4,1,1,0,79.3145,79.3145,1183.11,28.324,37.888332,inch
A68_b12_GC_5,A68,b12,GC,5,1,1,0,87.4686,87.4686,1304.74,23.957,37.888332,inch
A68_b12_GC_6,A68,b12,GC,6,1,1,0,123.5529,123.5529,1843.0,15.166,37.888332,inch
A68_b2_FL_3,A68,b2,FL,3,1,1,0,70.2628,70.2628,1048.09,28.419,37.888332,inch
A68_b2_FL_4,A68,b2,FL,4,30,1,29,509.1222,97.1524,7594.41,9.73,37.888332,inch
A68_b2_FL_5,A68,b2,FL,5,33,1,32,1152.1357,107.8634,17186.02,11.414,37.888332,inch
A68_b2_FL_6,A68,b2,FL,6,34,1,33,1447.4854,115.7922,22741.85,11.901,37.888332,inch
A68_b4_FL_3,A68,b4,FL,3,1,1,0,148.2419,148.2419,2211.27,31.073,37.888332,inch
A68_b4_FL_4,A68,b4,FL,4,29,1,28,588.7397,226.0752,8782.03,10.642,37.888332,inch
A68_b4_FL_5,A68,b4,FL,5,33,1,32,1071.2234,245.8137,15979.08,8.175,37.888332,inch
A68_b4_FL_6,A68,b4,FL,6,61,1,60,1761.1613,272.2997,26270.65,8.835,37.888332,inch
A68_b8_FL_3,A68,b8,FL,3,1,1,0,112.9882,112.9882,1685.41,14.151,37.888332,inch
A68_b8_FL_4,A68,b8,FL,4,20,1,19,387.4417,135.2029,6803.73,9.919,37.888332,inch
A68_b8_FL_5,A68,b8,FL,5,22,1,21,519.8981,147.9091,8689.48,9.461,37.888332,inch
A68_b8_FL_6,A68,b8,FL,6,65,1,64,1541.6038,226.2852,22995.59,8.757,37.888332,inch
A68_c2_GC_4,A68,c2,GC,4,1,1,0,31.6878,31.6878,472.68,24.695,37.888332,inch
A68_c2_GC_5,A68,c2,GC,5,1,1,0,40.1073,40.1073,598.27,28.545,37.888332,inch
A68_c2_GC_6,A68,c2,GC,6,1,1,0,64.7517,64.7517,965.88,31.004,37.888332,inch
A68_d12_FL_3,A68,d12,FL,3,1,1,0,136.0328,136.0328,2029.16,17.504,37.888332,inch
A68_d12_FL_4,A68,d12,FL,4,20,1,19,349.6345,193.687,5215.38,11.984,37.888332,inch
A68_d12_FL_5,A68,d12,FL,5,26,2,24,637.9648,222.647,9717.94,13.967,37.888332,inch
A68_d12_FL_6,A68,d12,FL,6,30,1,29,1003.5228,228.5743,15071.25,12.106,37.888332,inch
A68_d12_GC_3,A68,d12,GC,3,1,1,0,57.9614,57.9614,864.59,34.333,37.888332,inch
A68_d12_GC_4,A68,d12,GC,4,1,1,0,102.9867,102.9867,1536.22,28.448,37.888332,inch
A68_d12_GC_5,A68,d12,GC,5,1,1,0,121.807,121.807,1816.95,28.006,37.888332,inch
A68_d12_GC_6,A68,d12,GC,6,15,1,14,237.86,165.9805,3557.82,8.946,37.888332,inch
A68_d8_GC_3,A68,d8,GC,3,1,1,0,67.9924,67.9924,1014.22,25.93,37.888332,inch
A68_d8_GC_4,A68,d8,GC,4,1,1,0,106.3237,106.3237,1586.0,21.794,37.888332,inch
A68_d8_GC_5,A68,d8,GC,5,8,1,7,171.5191,139.3485,2558.49,11.241,37.888332,inch
A68_d8_GC_6,A68,d8,GC,6,36,1,35,501.0315,175.1666,7473.72,6.886,37.888332,inch
D130_a11_FL_3,D130,a11,FL,3,1,1,0,113.9821,113.9821,1700.23,21.913,37.888332,inch
D130_a11_FL_4,D130,a11,FL,4,22,3,19,279.2986,143.593,4166.2,9.446,37.888332,inch
