term,estimate_log,std_err,z,p_value,fold_change
Intercept,3.1179473453529383,0.13326897225147963,23.395898480175465,4.704844250675418e-121,22.599942123162286
C(condition)[T.FL],0.0596501015227675,0.18588994908599643,0.32088933165058947,0.7482942588756009,1.061465076546837
C(genotype)[T.A68],-0.04801690482281236,0.21216208798637945,-0.22632179612549339,0.8209511472930107,0.9531176746559069
C(genotype)[T.D130],-0.01240969142375941,0.16301853317077242,-0.07612442083968121,0.9393201114889012,0.987666991266256
C(condition)[T.FL]:C(genotype)[T.A68],0.6104579488935232,0.2978123688940878,2.0498072365510875,0.040383245163996405,1.8412744153188272
C(condition)[T.FL]:C(genotype)[T.D130],0.6071886668898286,0.2549575883871008,2.381528122896806,0.01724097425095536,1.8352645992535603
day,0.30052877277117424,0.014653093316865099,20.50957884948963,1.7681868064794502e-93,1.3505727649023407
day:C(condition)[T.FL],-0.05575701235495844,0.021331335738996544,-2.6138547082650403,0.008952709901676757,0.9457689181343135
Group Var,5.570548973010219,1.3949638136118592,3.993328657455908,6.515216348839565e-05,
