program,axis,A68,D130,WT,AVPOX_mean,delta_vs_WT
0,Biotic,0.0331,0.0435,0.1186,0.0383,-0.0803
0,Biotic.Hormone,0.0889,0.0355,0.1016,0.062200000000000005,-0.03939999999999999
0,Cold,-0.0514,0.0678,0.1034,0.008199999999999999,-0.0952
0,Drought,-0.0433,0.1912,0.1253,0.07395,-0.05134999999999999
0,Drought.Light,0.0088,-0.0348,0.0769,-0.012999999999999998,-0.0899
0,FarRed,-0.0639,0.1094,-0.0276,0.02275,0.05035
0,FeDeficiency,0.0761,-0.0126,0.099,0.03175,-0.06725
0,Genotoxic,-0.0097,-0.0116,0.0065,-0.01065,-0.01715
0,Heat,0.1361,0.0547,0.0825,0.0954,0.012899999999999995
0,Herbicide,-0.0268,-0.1088,0.1423,-0.0678,-0.2101
0,Hormone,0.1238,0.0671,0.2589,0.09545000000000001,-0.16345
0,Hypoxia,0.2301,0.1746,0.1674,0.20235,0.03495000000000001
0,Light,0.0707,-0.1361,0.0624,-0.0327,-0.09509999999999999
0,LowPH,0.079,0.0575,0.1097,0.06825,-0.04145
0,Nitrogen,0.0737,0.0458,0.1225,0.05975,-0.06275
0,Osmotic,-0.0432,0.1236,0.1445,0.0402,-0.10429999999999999
0,Radiation,-0.0524,0.0536,-0.0302,0.0005999999999999998,0.0308
0,Salt,-0.0196,0.143,0.1064,0.06169999999999999,-0.044700000000000004
0,UV,0.0317,-0.1544,0.1162,-0.06135,-0.17754999999999999
0,Wounding,0.0407,0.0528,0.1271,0.04675,-0.08034999999999999
1,Biotic,0.1139,0.1227,0.1802,0.1183,-0.0619
1,Biotic.Hormone,0.0425,0.0597,0.1205,0.051100000000000007,-0.06939999999999999
1,Cold,0.059,0.0267,0.0234,0.04285,0.01945
1,Drought,0.0761,0.032,0.0548,0.05405,-0.0007500000000000007
1,Drought.Light,0.1089,0.0425,0.0506,0.0757,0.025100000000000004
1,FarRed,0.0968,0.1927,0.1514,0.14475,-0.006650000000000017
1,FeDeficiency,0.0614,-0.0214,0.0102,0.020000000000000004,0.009800000000000003
1,Genotoxic,0.0927,0.0949,0.1282,0.0938,-0.034400000000000014
1,Heat,0.0117,0.0361,0.0198,0.0239,0.0040999999999999995
1,Herbicide,-0.0072,-0.0148,0.0195,-0.011,-0.0305
1,Hormone,0.1282,0.1432,0.1289,0.1357,0.0068000000000000005
1,Hypoxia,0.0934,-0.0046,0.0378,0.044399999999999995,0.006599999999999995
1,Light,0.0298,-0.0318,0.0088,-0.0010000000000000009,-0.009800000000000001
1,LowPH,0.093,0.0167,-0.053,0.054849999999999996,0.10785
1,Nitrogen,0.0724,-0.0354,0.087,0.018500000000000003,-0.06849999999999999
1,Osmotic,0.1452,0.1258,0.1298,0.1355,0.005700000000000011
1,Radiation,-0.0023,0.0123,0.0648,0.005,-0.0598
1,Salt,0.1038,0.0596,0.0414,0.0817,0.040299999999999996
1,UV,0.1094,0.0902,0.1577,0.0998,-0.05790000000000001
1,Wounding,0.1564,0.1274,0.1799,0.14190000000000003,-0.03799999999999998
2,Biotic,-0.0156,-0.0852,0.1589,-0.0504,-0.2093
2,Biotic.Hormone,-0.103,-0.1871,0.0606,-0.14504999999999998,-0.20565
2,Cold,0.0512,-0.0299,-0.0242,0.010650000000000001,0.03485
2,Drought,0.0546,0.0608,-0.0646,0.0577,0.1223
