gene,program
Gohir.D09G095100,1
Gohir.D02G238400,10
Gohir.D09G216200,10
Gohir.A01G150600,0
Gohir.A06G121600,10
Gohir.D05G134600,10
Gohir.D05G242800,10
Gohir.A09G198700,10
Gohir.D05G330700,10
Gohir.D04G051300,1
Gohir.A08G203200,1
Gohir.D04G144000,1
Gohir.A05G359000,10
Gohir.A13G069300,10
Gohir.D03G172100,6
Gohir.A08G067200,10
Gohir.A03G196700,6
Gohir.A03G000200,6
Gohir.A03G158100,1
Gohir.D10G230800,6
Gohir.D12G128600,10
Gohir.A09G151200,1
Gohir.A05G123700,1
Gohir.D12G239200,10
Gohir.A09G213700,10
Gohir.A08G083500,1
Gohir.A03G000018,10
Gohir.A03G038500,1
Gohir.D12G115700,10
Gohir.A13G181850,6
Gohir.D09G048500,10
Gohir.A12G142400,1
Gohir.D09G092901,10
Gohir.D04G124200,10
Gohir.D08G194400,10
Gohir.A11G081900,1
Gohir.A07G100500,10
Gohir.A01G069000,0
Gohir.A13G091800,1
Gohir.A06G001800,1
Gohir.A09G047500,10
Gohir.D05G131200,10
Gohir.D02G073900,10
Gohir.D05G379600,1
Gohir.A12G010500,10
Gohir.D03G093800,10
Gohir.A13G030400,10
Gohir.A08G204100,10
Gohir.D05G237400,10
Gohir.A11G029900,10
Gohir.D11G007200,6
Gohir.D05G044000,10
Gohir.D03G169900,6
Gohir.D03G060613,10
Gohir.D13G133600,10
Gohir.A08G176900,10
Gohir.A09G095400,1
Gohir.A11G328500,10
Gohir.A02G009116,10
Gohir.D12G010900,10
Gohir.D05G249900,1
Gohir.A09G065000,10
Gohir.D05G193700,1
Gohir.D11G067900,0
Gohir.D05G196100,1
Gohir.D10G162900,10
Gohir.A11G181300,1
Gohir.D01G177500,10
Gohir.D09G202800,6
Gohir.D05G364000,1
Gohir.D12G004300,10
Gohir.A13G226300,10
Gohir.A12G035700,1
Gohir.D04G006000,10
Gohir.A09G213652,10
Gohir.D10G061400,10
Gohir.A06G164200,10
Gohir.D01G181200,1
Gohir.A06G149700,1
Gohir.D11G312690,1
Gohir.D12G147300,1
Gohir.D12G012400,10
Gohir.A02G112704,10
Gohir.A01G179300,10
Gohir.A05G099800,0
Gohir.D01G160100,10
Gohir.D05G302700,1
Gohir.D11G312636,1
Gohir.A12G012000,10
Gohir.D13G201700,10
Gohir.D04G074900,1
Gohir.A11G297600,1
Gohir.D07G032851,10
Gohir.A08G144400,6
Gohir.A04G027500,1
Gohir.D11G228100,1
Gohir.D08G220300,1
Gohir.D04G012150,10
Gohir.A12G232400,1
Gohir.A13G191900,10
Gohir.A11G219100,1
Gohir.D05G242600,10
Gohir.A11G293300,1
Gohir.D11G342600,6
Gohir.A07G056100,1
Gohir.D13G192300,1
Gohir.D05G358800,10
Gohir.A11G168500,1
Gohir.A05G178000,10
Gohir.A03G160900,10
Gohir.D11G086600,1
Gohir.D11G177500,10
Gohir.A09G224000,1
Gohir.D11G232100,10
Gohir.D08G097300,10
Gohir.A05G014300,0
Gohir.A05G398900,10
Gohir.D08G146300,10
Gohir.D13G195400,10
Gohir.D02G014550,1
Gohir.D05G116300,10
Gohir.A08G093500,10
Gohir.D08G029800,1
Gohir.D08G195200,10
Gohir.A10G126400,10
Gohir.A01G169100,10
Gohir.D12G079000,10
Gohir.D11G204500,1
Gohir.A05G234100,6
Gohir.D07G113700,10
Gohir.D07G224000,1
Gohir.A12G062500,1
Gohir.D01G142100,0
Gohir.D05G243900,1
Gohir.D09G007600,10
Gohir.A07G028825,10
Gohir.A13G149200,1
Gohir.D10G060600,1
Gohir.D04G183800,0
Gohir.D11G046400,1
Gohir.D13G197300,10
Gohir.D08G024000,10
Gohir.A12G135000,1
Gohir.A01G181900,10
Gohir.D01G043300,10
Gohir.A10G231400,6
Gohir.D11G347400,10
Gohir.A08G019200,1
Gohir.D11G312500,1
Gohir.D11G240900,1
Gohir.D08G165400,6
Gohir.A05G116400,1
Gohir.D11G316600,1
Gohir.D05G174600,10
Gohir.D04G119900,10
Gohir.D07G175600,10
Gohir.A07G014066,10
Gohir.D11G072800,10
Gohir.D08G135700,6
Gohir.D05G117200,1
Gohir.D06G120100,10
Gohir.A13G123100,0
Gohir.A07G190800,10
Gohir.A06G015800,10
Gohir.A10G028000,10
Gohir.D11G045900,6
Gohir.A09G154300,10
Gohir.D07G013766,10
Gohir.D07G061400,10
Gohir.A01G195000,1
Gohir.D05G249500,6
Gohir.D11G025500,9
Gohir.A07G089500,10
Gohir.A10G118720,10
Gohir.A09G071700,1
Gohir.D07G042300,10
Gohir.A04G025800,10
Gohir.D08G056700,10
Gohir.D07G145100,10
Gohir.D08G189800,0
Gohir.A12G219400,1
Gohir.A10G117300,10
Gohir.A02G026500,1
Gohir.D01G018100,10
