gene,umap1,umap2,program
Gohir.A10G221700,10.530298,3.0200825,10
Gohir.D11G169700,11.228946,2.584467,10
Gohir.A11G163300,11.197156,2.5283852,10
Gohir.D10G234000,10.658776,2.8517847,10
Gohir.A11G163200,11.042595,2.596487,10
Gohir.D11G169600,10.816265,2.6755006,10
Gohir.D03G163200,-6.8159537,-1.0737025,1
Gohir.A01G040900,11.480748,3.3675563,10
Gohir.A05G150200,10.349714,1.7703987,10
Gohir.A09G026600,11.073427,3.066161,10
Gohir.D07G227500,11.072225,2.682782,10
Gohir.A03G007800,-6.786463,-0.5164343,1
Gohir.A07G220800,10.90225,2.6470487,10
Gohir.D08G008200,-6.973245,-0.5485576,1
Gohir.D11G215000,10.51048,3.0213783,10
Gohir.D09G026100,11.281319,3.7625322,10
Gohir.A13G217500,10.617921,4.782814,10
Gohir.A01G041100,11.488481,3.281402,10
Gohir.D09G079900,11.563963,2.8386726,10
Gohir.D05G152800,10.270178,1.7347367,10
Gohir.A05G067300,11.295551,1.4191599,10
Gohir.D06G141500,10.190568,2.1067636,10
Gohir.D05G380000,-6.186027,-1.1466918,1
Gohir.D04G065400,-5.5686293,-2.495593,1
Gohir.D09G156700,-4.8435435,-3.5700433,6
Gohir.A06G166200,10.514176,2.8546278,10
Gohir.A03G119900,-4.772677,-1.2845794,1
Gohir.D13G221100,10.823039,4.2182646,10
Gohir.A08G000064,-6.9181037,-0.40846038,1
Gohir.A07G179000,11.5525875,2.5700557,10
Gohir.D07G180900,11.685562,2.0906026,10
Gohir.D13G210500,-5.361027,-1.9915789,1
Gohir.A04G100800,12.33949,1.1087595,0
Gohir.A07G029100,10.30938,2.9878547,10
Gohir.A05G186100,10.103638,2.966764,10
Gohir.D07G122000,-6.774733,-0.40755373,1
Gohir.D01G088300,9.857794,3.5418737,10
Gohir.A05G103200,-4.5704722,0.1850424,1
Gohir.A13G024300,10.136788,1.7043958,10
Gohir.D09G203900,-6.9513726,-0.4624052,1
Gohir.A05G346800,-5.892419,-2.5637162,1
Gohir.D10G177100,-6.4219284,-1.07432,1
Gohir.A12G061000,10.249827,2.9958768,10
Gohir.A10G059850,-5.808956,-2.8451562,1
Gohir.D10G039500,10.196508,1.8625721,10
Gohir.A13G130300,9.56256,4.9452586,10
Gohir.A04G001100,10.00616,2.5149167,10
Gohir.D10G243000,10.576895,3.2569957,10
Gohir.A07G173466,11.289133,1.903631,10
Gohir.A05G248600,10.718026,1.9582518,10
Gohir.A09G161000,-4.5659432,-3.6392844,6
Gohir.A10G069600,10.581562,3.1040647,10
Gohir.D12G061100,11.252633,2.2009683,10
Gohir.D04G164160,-4.29582,-0.77053225,1
Gohir.A05G098000,-6.9592037,-0.20060697,1
Gohir.A04G122100,-2.1789753,-0.15383849,4
Gohir.D05G250600,10.97846,1.8274894,10
Gohir.D10G081900,10.405094,3.0655353,10
Gohir.D06G171700,10.498252,3.150391,10
Gohir.D01G056300,10.18569,2.3845594,10
Gohir.A08G078800,-4.1295915,-4.0469465,6
Gohir.D13G229100,-6.2876744,-2.0335796,1
Gohir.A03G110100,-4.7724648,-1.8548809,1
Gohir.A05G070700,12.1732235,1.2981724,0
Gohir.D11G284900,10.656986,4.026716,10
Gohir.A05G087400,10.263205,1.7461824,10
Gohir.A08G169400,-6.4979033,1.362973,1
Gohir.A07G160500,10.36302,2.2466352,10
Gohir.D01G028500,10.666031,3.310809,10
Gohir.D05G189000,10.084381,2.692705,10
Gohir.D01G028400,11.294537,2.643127,10
Gohir.A10G016700,10.6773615,2.0619857,10
Gohir.D07G168100,10.7330675,1.8949553,10
Gohir.D02G134700,-3.7362201,-1.3644899,1
Gohir.A11G174700,11.173887,2.6646788,10
Gohir.A05G079200,10.274597,1.8420068,10
Gohir.D08G179200,-3.4057112,-2.868492,6
Gohir.D07G033100,9.94635,3.601554,10
Gohir.A11G208400,10.43914,3.046141,10
Gohir.D10G016800,10.624084,2.1276138,10
Gohir.D05G082100,10.555346,1.6832389,10
Gohir.A06G145200,12.990962,0.80076903,0
Gohir.D11G106100,10.821203,2.6463883,10
Gohir.D03G177400,10.014335,4.3671527,10
Gohir.D12G180700,9.729758,2.5622458,10
Gohir.D07G171900,10.060324,1.9712788,10
Gohir.A10G235100,10.075871,2.4577022,10
Gohir.D08G258400,13.595566,3.9072058,10
Gohir.D11G182100,11.259773,2.7893364,10
Gohir.A05G248566,10.274587,4.749914,10
Gohir.A12G204600,10.738124,4.225155,10
Gohir.D08G088500,-5.050968,-2.9502633,6
Gohir.D04G034900,10.654843,2.1766787,10
Gohir.D05G236400,-3.805845,-1.7555549,6
Gohir.A11G154300,12.088393,1.9872453,10
Gohir.A12G273900,-6.4849343,-1.888824,1
Gohir.D05G088400,10.732622,1.8681861,10
Gohir.A05G380700,10.697066,2.1336136,10
Gohir.D07G240200,11.224321,3.0906193,10
Gohir.D13G023200,10.083647,1.6320722,10
Gohir.A04G026100,9.894548,1.9371481,10
Gohir.D04G140100,12.004704,0.8681377,0
Gohir.A03G096800,11.079429,1.235965,10
Gohir.A13G205400,-5.386924,-2.671794,1
Gohir.A08G238000,13.407819,3.9907417,10
Gohir.D04G175600,-6.8958716,-0.62855303,1
Gohir.A11G274700,10.413352,4.004822,10
Gohir.D07G070400,10.359067,1.8157344,10
Gohir.A01G150800,-3.361299,-1.0181175,1
Gohir.D06G151000,13.045095,0.56826884,0
Gohir.D11G194600,11.042864,1.9568893,10
Gohir.A13G205600,-5.5941353,-3.1798894,1
Gohir.A07G065900,10.145717,1.7458769,10
Gohir.A03G172800,9.877259,2.618363,10
Gohir.D01G147300,10.3553915,1.9251767,10
Gohir.A04G024700,10.302378,1.6495264,10
Gohir.A09G164900,12.845954,2.7890823,10
Gohir.A03G192900,10.2857685,3.6227636,10
Gohir.A08G158800,-3.0725777,-2.2783017,6
Gohir.D10G165300,-7.182958,0.66015476,1
Gohir.A11G328100,-5.1005564,-3.2515504,6
Gohir.D05G171200,12.610221,1.1623955,0
Gohir.A11G101600,11.298629,2.7311723,10
Gohir.A09G210500,-6.9958935,-0.3877564,1
Gohir.A07G122100,10.770349,4.5002265,10
Gohir.A05G143600,11.250943,1.6138403,10
Gohir.A06G138900,10.640765,2.041423,10
Gohir.D06G169100,9.424034,4.027535,10
Gohir.A12G124700,12.596844,0.9643116,0
Gohir.A12G178300,9.885847,2.5303147,10
Gohir.D12G207000,10.797835,4.244978,10
Gohir.D09G225800,11.942935,3.2086637,10
Gohir.D07G111400,-6.7814007,0.651475,1
Gohir.A10G229000,10.46528,3.0429447,10
Gohir.D12G106300,-5.7652607,-2.1413689,1
Gohir.D03G170100,10.34511,3.4461532,10
Gohir.A12G035600,-3.8476899,-1.4483806,1
Gohir.D11G141200,10.719755,2.0978668,10
Gohir.D05G379200,-6.53867,-1.7420286,1
Gohir.A03G000019,10.461368,4.7845182,10
Gohir.A03G002200,10.388496,3.5812612,10
Gohir.D11G297400,-5.2574406,-2.7160094,1
