program,n_genes,WT_Root_Flight,WT_Root_Ground,WT_Shoot_Flight,WT_Shoot_Ground,A68_Root_Flight,A68_Root_Ground,A68_Shoot_Flight,A68_Shoot_Ground,D130_Root_Flight,D130_Root_Ground,D130_Shoot_Flight,D130_Shoot_Ground
0,688,-0.9140967854075969,-1.071877424932075,0.9516633219506585,0.6710607700837761,-0.7083980595736756,-1.1752152216414058,0.7448803824679364,1.0189022845296265,-0.6808613752103094,-1.0416307210318336,1.1186166704345417,0.6878062555950426
1,1463,1.0761844877921785,0.7402821128846816,-0.9775290830083776,-0.8893686207346245,0.9405976208892919,0.834046880923163,-0.942698677762775,-0.9011139949706853,0.9766202042172063,0.9920379439333589,-1.034677253631345,-1.1341071754971954
2,205,0.9882008785408829,-0.5277412343971456,0.29059001329285916,-1.0035936396888983,1.0728967320592726,-0.12002020176899646,-0.2366184772881305,-0.6645670988369786,0.9426451978747757,0.015392803477294036,-0.8216200141305061,-1.1173126452326787
3,133,-0.37878834369615294,-0.9034453295135728,0.14713157574442412,0.4644466238023054,-0.5600012342931441,-0.5092621176006281,-0.18148133856232201,0.9896804727652422,-0.782850704796169,-0.5629483723989896,-0.16987045351138566,0.9892693936145296
4,336,0.8528456520361193,0.7390034512354466,-1.186322804028851,-0.6518665218648453,0.6359012169448909,0.707316515740613,-1.3902613829433148,-0.5914657770838869,0.7524748172843911,0.8844667670350246,-1.3726178307717984,-1.2136933204186344
5,534,0.5524388583066985,1.274789450718675,-0.8765502730392227,-0.07392800040316616,0.5117881554974663,1.2713005687510452,-0.32529011899276505,-0.5128288561521791,0.37467912569770184,1.0003188012989257,-0.5774700165845199,-1.1394025142922328
6,1187,1.0704491126216873,0.4312218231922807,-1.0121212496596246,-0.8637128308327021,1.1927713749761821,0.11294940294959945,-0.8758829718722144,-0.833091303051231,1.356117228027588,0.43856979333763624,-0.9207751968454843,-1.1004728017683474
7,582,-0.9250117453670811,-0.7565589655565386,-0.0040380580148668115,1.1575273539202313,-0.8249081862288373,-0.8656636100345456,1.1476758196524113,0.8036080555686236,-0.8574735203376229,-0.8161434017974678,0.9327317199012485,0.8591815138113936
8,63,-0.5218675671318942,-1.0175654716457354,-0.47868182174237395,-0.5407741283824807,0.3362787895585299,-1.1117704531410322,0.9401075718557319,-0.026479902000719407,0.5400331208220442,-0.723543864694675,0.8792710358166252,-0.5754581479104628
9,562,0.8579940211702236,0.9182915797302413,-0.9043511998864804,-0.4804636153431982,0.5318311820040125,1.5181788333926045,-0.8054749014439692,-0.5862346101510103,0.2133032693240568,1.2873116974867858,-0.9908885269270269,-0.9497517865876547
10,2078,-1.0092980748330045,-0.9365666386050795,0.5453437971825886,1.0500992046957471,-0.9006732573484579,-0.9986665995896103,0.9557167831151173,0.9177476625316379,-0.9259731438341664,-0.9136492788643624,0.9308323616734789,1.1064722795493613
11,169,0.7410968391703102,-1.229264134519627,1.1447722023071647,-0.6203923871907352,0.6124815862067636,-0.5865289613598087,0.12604527615564595,-0.14082522488086077,-0.21339440271006505,-0.7661753706138344,-0.7578397100239178,-0.4235104285196869
