program,tissue,genotype,axis,score,n_shared
0,Shoot,WT,Drought,0.1253,446
0,Shoot,WT,Hypoxia,0.1674,446
0,Shoot,WT,Heat,0.0825,446
0,Shoot,WT,Biotic,0.1186,446
0,Shoot,WT,Osmotic,0.1445,446
0,Shoot,WT,Salt,0.1064,446
0,Shoot,WT,Biotic.Hormone,0.1016,446
0,Shoot,WT,Hormone,0.2589,446
0,Shoot,WT,Light,0.0624,446
0,Shoot,WT,FarRed,-0.0276,446
0,Shoot,WT,LowPH,0.1097,446
0,Shoot,WT,Nitrogen,0.1225,446
0,Shoot,WT,Cold,0.1034,446
0,Shoot,WT,FeDeficiency,0.099,446
0,Shoot,WT,Herbicide,0.1423,446
0,Shoot,WT,UV,0.1162,446
0,Shoot,WT,Wounding,0.1271,446
0,Shoot,WT,Genotoxic,0.0065,446
0,Shoot,WT,Drought.Light,0.0769,446
0,Shoot,WT,Radiation,-0.0302,446
0,Shoot,A68,Drought,-0.0433,446
0,Shoot,A68,Hypoxia,0.2301,446
0,Shoot,A68,Heat,0.1361,446
0,Shoot,A68,Biotic,0.0331,446
0,Shoot,A68,Osmotic,-0.0432,446
0,Shoot,A68,Salt,-0.0196,446
0,Shoot,A68,Biotic.Hormone,0.0889,446
0,Shoot,A68,Hormone,0.1238,446
0,Shoot,A68,Light,0.0707,446
0,Shoot,A68,FarRed,-0.0639,446
0,Shoot,A68,LowPH,0.079,446
0,Shoot,A68,Nitrogen,0.0737,446
0,Shoot,A68,Cold,-0.0514,446
0,Shoot,A68,FeDeficiency,0.0761,446
0,Shoot,A68,Herbicide,-0.0268,446
0,Shoot,A68,UV,0.0317,446
0,Shoot,A68,Wounding,0.0407,446
0,Shoot,A68,Genotoxic,-0.0097,446
0,Shoot,A68,Drought.Light,0.0088,446
0,Shoot,A68,Radiation,-0.0524,446
0,Shoot,D130,Drought,0.1912,446
0,Shoot,D130,Hypoxia,0.1746,446
0,Shoot,D130,Heat,0.0547,446
0,Shoot,D130,Biotic,0.0435,446
0,Shoot,D130,Osmotic,0.1236,446
0,Shoot,D130,Salt,0.143,446
0,Shoot,D130,Biotic.Hormone,0.0355,446
0,Shoot,D130,Hormone,0.0671,446
0,Shoot,D130,Light,-0.1361,446
0,Shoot,D130,FarRed,0.1094,446
0,Shoot,D130,LowPH,0.0575,446
0,Shoot,D130,Nitrogen,0.0458,446
0,Shoot,D130,Cold,0.0678,446
0,Shoot,D130,FeDeficiency,-0.0126,446
0,Shoot,D130,Herbicide,-0.1088,446
0,Shoot,D130,UV,-0.1544,446
0,Shoot,D130,Wounding,0.0528,446
0,Shoot,D130,Genotoxic,-0.0116,446
0,Shoot,D130,Drought.Light,-0.0348,446
0,Shoot,D130,Radiation,0.0536,446
1,Root,WT,Drought,0.0548,783
1,Root,WT,Hypoxia,0.0378,783
1,Root,WT,Heat,0.0198,783
1,Root,WT,Biotic,0.1802,783
1,Root,WT,Osmotic,0.1298,783
1,Root,WT,Salt,0.0414,783
1,Root,WT,Biotic.Hormone,0.1205,783
1,Root,WT,Hormone,0.1289,783
1,Root,WT,Light,0.0088,783
1,Root,WT,FarRed,0.1514,783
1,Root,WT,LowPH,-0.053,783
1,Root,WT,Nitrogen,0.087,783
1,Root,WT,Cold,0.0234,783
1,Root,WT,FeDeficiency,0.0102,783
1,Root,WT,Herbicide,0.0195,783
1,Root,WT,UV,0.1577,783
1,Root,WT,Wounding,0.1799,783
1,Root,WT,Genotoxic,0.1282,783
1,Root,WT,Drought.Light,0.0506,783
1,Root,WT,Radiation,0.0648,783
1,Root,A68,Drought,0.0761,783
1,Root,A68,Hypoxia,0.0934,783
1,Root,A68,Heat,0.0117,783
1,Root,A68,Biotic,0.1139,783
1,Root,A68,Osmotic,0.1452,783
1,Root,A68,Salt,0.1038,783
1,Root,A68,Biotic.Hormone,0.0425,783
1,Root,A68,Hormone,0.1282,783
1,Root,A68,Light,0.0298,783
1,Root,A68,FarRed,0.0968,783
1,Root,A68,LowPH,0.093,783
