program,tissue,genotype,axis,score,n_shared
1,Root,A68,Nitrogen,0.0724,783
1,Root,A68,Cold,0.059,783
1,Root,A68,FeDeficiency,0.0614,783
1,Root,A68,Herbicide,-0.0072,783
1,Root,A68,UV,0.1094,783
1,Root,A68,Wounding,0.1564,783
1,Root,A68,Genotoxic,0.0927,783
1,Root,A68,Drought.Light,0.1089,783
1,Root,A68,Radiation,-0.0023,783
1,Root,D130,Drought,0.032,783
1,Root,D130,Hypoxia,-0.0046,783
1,Root,D130,Heat,0.0361,783
1,Root,D130,Biotic,0.1227,783
1,Root,D130,Osmotic,0.1258,783
1,Root,D130,Salt,0.0596,783
1,Root,D130,Biotic.Hormone,0.0597,783
1,Root,D130,Hormone,0.1432,783
1,Root,D130,Light,-0.0318,783
1,Root,D130,FarRed,0.1927,783
1,Root,D130,LowPH,0.0167,783
1,Root,D130,Nitrogen,-0.0354,783
1,Root,D130,Cold,0.0267,783
1,Root,D130,FeDeficiency,-0.0214,783
1,Root,D130,Herbicide,-0.0148,783
1,Root,D130,UV,0.0902,783
1,Root,D130,Wounding,0.1274,783
1,Root,D130,Genotoxic,0.0949,783
1,Root,D130,Drought.Light,0.0425,783
1,Root,D130,Radiation,0.0123,783
2,Root,WT,Drought,-0.0646,141
2,Root,WT,Hypoxia,-0.1495,141
2,Root,WT,Heat,0.0277,141
2,Root,WT,Biotic,0.1589,141
2,Root,WT,Osmotic,0.0781,141
2,Root,WT,Salt,0.0623,141
2,Root,WT,Biotic.Hormone,0.0606,141
2,Root,WT,Hormone,-0.0139,141
2,Root,WT,Light,-0.0074,141
2,Root,WT,FarRed,0.0641,141
2,Root,WT,LowPH,-0.0669,141
2,Root,WT,Nitrogen,0.0668,141
2,Root,WT,Cold,-0.0242,141
2,Root,WT,FeDeficiency,-0.0385,141
2,Root,WT,Herbicide,0.133,141
2,Root,WT,UV,0.1318,141
2,Root,WT,Wounding,0.0289,141
2,Root,WT,Genotoxic,0.2488,141
2,Root,WT,Drought.Light,0.1385,141
2,Root,WT,Radiation,0.0762,141
2,Root,A68,Drought,0.0546,141
2,Root,A68,Hypoxia,0.1856,141
2,Root,A68,Heat,0.0047,141
2,Root,A68,Biotic,-0.0156,141
2,Root,A68,Osmotic,0.148,141
2,Root,A68,Salt,0.1508,141
2,Root,A68,Biotic.Hormone,-0.103,141
2,Root,A68,Hormone,0.0809,141
2,Root,A68,Light,-0.1283,141
2,Root,A68,FarRed,0.1781,141
2,Root,A68,LowPH,-0.0577,141
2,Root,A68,Nitrogen,0.1447,141
2,Root,A68,Cold,0.0512,141
2,Root,A68,FeDeficiency,-0.1366,141
2,Root,A68,Herbicide,0.0577,141
2,Root,A68,UV,0.0013,141
2,Root,A68,Wounding,0.081,141
2,Root,A68,Genotoxic,0.1262,141
2,Root,A68,Drought.Light,0.0256,141
2,Root,A68,Radiation,0.1218,141
2,Root,D130,Drought,0.0608,141
2,Root,D130,Hypoxia,0.0145,141
2,Root,D130,Heat,0.0338,141
2,Root,D130,Biotic,-0.0852,141
2,Root,D130,Osmotic,0.1314,141
2,Root,D130,Salt,0.0394,141
2,Root,D130,Biotic.Hormone,-0.1871,141
2,Root,D130,Hormone,-0.1133,141
2,Root,D130,Light,-0.1726,141
2,Root,D130,FarRed,0.1612,141
2,Root,D130,LowPH,-0.1009,141
2,Root,D130,Nitrogen,0.019,141
2,Root,D130,Cold,-0.0299,141
2,Root,D130,FeDeficiency,-0.1379,141
2,Root,D130,Herbicide,-0.0745,141
2,Root,D130,UV,-0.0681,141
2,Root,D130,Wounding,-0.061,141
2,Root,D130,Genotoxic,0.076,141
2,Root,D130,Drought.Light,0.0004,141
2,Root,D130,Radiation,0.024,141
3,Shoot,WT,Drought,0.1011,93
3,Shoot,WT,Hypoxia,0.2318,93
3,Shoot,WT,Heat,0.1397,93
3,Shoot,WT,Biotic,0.3991,93
3,Shoot,WT,Osmotic,0.286,93
3,Shoot,WT,Salt,0.3443,93
3,Shoot,WT,Biotic.Hormone,0.2526,93
3,Shoot,WT,Hormone,0.3589,93
3,Shoot,WT,Light,0.0847,93
3,Shoot,WT,FarRed,0.0304,93
3,Shoot,WT,LowPH,0.1942,93
3,Shoot,WT,Nitrogen,0.1789,93
3,Shoot,WT,Cold,0.2169,93
3,Shoot,WT,FeDeficiency,-0.0334,93
3,Shoot,WT,Herbicide,0.2906,93
3,Shoot,WT,UV,0.3353,93
3,Shoot,WT,Wounding,0.2203,93
3,Shoot,WT,Genotoxic,0.2801,93
3,Shoot,WT,Drought.Light,0.1475,93
3,Shoot,WT,Radiation,0.0823,93
3,Shoot,A68,Drought,0.0249,93
3,Shoot,A68,Hypoxia,0.0611,93
3,Shoot,A68,Heat,0.1183,93
3,Shoot,A68,Biotic,0.1236,93
3,Shoot,A68,Osmotic,0.0919,93
3,Shoot,A68,Salt,0.0293,93
3,Shoot,A68,Biotic.Hormone,0.1594,93
3,Shoot,A68,Hormone,0.1433,93
3,Shoot,A68,Light,0.0571,93
3,Shoot,A68,FarRed,0.0458,93
3,Shoot,A68,LowPH,0.0646,93
3,Shoot,A68,Nitrogen,0.0771,93
3,Shoot,A68,Cold,0.0459,93
3,Shoot,A68,FeDeficiency,-0.0536,93
3,Shoot,A68,Herbicide,0.0363,93
3,Shoot,A68,UV,0.1119,93
3,Shoot,A68,Wounding,0.1065,93
3,Shoot,A68,Genotoxic,-0.0036,93
3,Shoot,A68,Drought.Light,-0.0248,93
3,Shoot,A68,Radiation,0.0566,93
3,Shoot,D130,Drought,-0.0676,93
3,Shoot,D130,Hypoxia,0.1005,93
3,Shoot,D130,Heat,-0.0525,93
3,Shoot,D130,Biotic,0.1534,93
3,Shoot,D130,Osmotic,0.0821,93
3,Shoot,D130,Salt,0.0719,93
3,Shoot,D130,Biotic.Hormone,0.0322,93
3,Shoot,D130,Hormone,0.0994,93
3,Shoot,D130,Light,-0.0094,93
3,Shoot,D130,FarRed,0.0192,93
3,Shoot,D130,LowPH,0.0057,93
3,Shoot,D130,Nitrogen,-0.0257,93
3,Shoot,D130,Cold,0.031,93
3,Shoot,D130,FeDeficiency,-0.0783,93
3,Shoot,D130,Herbicide,0.1652,93
3,Shoot,D130,UV,0.2768,93
3,Shoot,D130,Wounding,0.0549,93
3,Shoot,D130,Genotoxic,0.1284,93
3,Shoot,D130,Drought.Light,-0.0273,93
3,Shoot,D130,Radiation,0.124,93
4,Root,WT,Drought,0.001,208
4,Root,WT,Hypoxia,0.1563,208
4,Root,WT,Heat,0.0074,208
4,Root,WT,Biotic,0.2621,208
4,Root,WT,Osmotic,-0.0526,208
4,Root,WT,Salt,-0.0076,208
4,Root,WT,Biotic.Hormone,0.2634,208
4,Root,WT,Hormone,0.1368,208
4,Root,WT,Light,-0.2167,208
4,Root,WT,FarRed,0.1702,208
4,Root,WT,LowPH,-0.0359,208
4,Root,WT,Nitrogen,0.1885,208
4,Root,WT,Cold,0.0578,208
4,Root,WT,FeDeficiency,0.0315,208
4,Root,WT,Herbicide,0.1365,208
4,Root,WT,UV,-0.1585,208
4,Root,WT,Wounding,0.1715,208
4,Root,WT,Genotoxic,0.0099,208
4,Root,WT,Drought.Light,-0.0208,208
4,Root,WT,Radiation,0.2061,208
4,Root,A68,Drought,-0.0059,208
4,Root,A68,Hypoxia,0.1188,208
4,Root,A68,Heat,0.0703,208
4,Root,A68,Biotic,0.2569,208
4,Root,A68,Osmotic,0.1509,208
4,Root,A68,Salt,0.1038,208
4,Root,A68,Biotic.Hormone,0.048,208
4,Root,A68,Hormone,0.0813,208
4,Root,A68,Light,-0.142,208
4,Root,A68,FarRed,0.3264,208
4,Root,A68,LowPH,0.0782,208
4,Root,A68,Nitrogen,-0.08,208
4,Root,A68,Cold,0.137,208
4,Root,A68,FeDeficiency,0.0232,208
4,Root,A68,Herbicide,0.0124,208
4,Root,A68,UV,-0.14,208
4,Root,A68,Wounding,0.1913,208
4,Root,A68,Genotoxic,0.1111,208
4,Root,A68,Drought.Light,-0.1585,208
4,Root,A68,Radiation,0.239,208
4,Root,D130,Drought,-0.0956,208
4,Root,D130,Hypoxia,0.0889,208
4,Root,D130,Heat,-0.0261,208
4,Root,D130,Biotic,0.1935,208
4,Root,D130,Osmotic,-0.0008,208
4,Root,D130,Salt,-0.0185,208
4,Root,D130,Biotic.Hormone,-0.0032,208
4,Root,D130,Hormone,-0.0613,208
4,Root,D130,Light,-0.221,208
4,Root,D130,FarRed,0.2563,208
4,Root,D130,LowPH,0.0505,208
4,Root,D130,Nitrogen,-0.0474,208
4,Root,D130,Cold,0.0474,208
4,Root,D130,FeDeficiency,-0.0514,208
4,Root,D130,Herbicide,-0.0039,208
4,Root,D130,UV,-0.2049,208
4,Root,D130,Wounding,0.0181,208
4,Root,D130,Genotoxic,0.0211,208
4,Root,D130,Drought.Light,-0.2312,208
4,Root,D130,Radiation,0.2239,208
5,Root,WT,Drought,0.0143,273
5,Root,WT,Hypoxia,-0.0312,273
5,Root,WT,Heat,-0.0013,273
5,Root,WT,Biotic,0.0389,273
5,Root,WT,Osmotic,-0.0487,273
5,Root,WT,Salt,-0.0101,273
5,Root,WT,Biotic.Hormone,0.0784,273
5,Root,WT,Hormone,0.052,273
5,Root,WT,Light,-0.1295,273
5,Root,WT,FarRed,-0.0642,273
5,Root,WT,LowPH,0.0985,273
5,Root,WT,Nitrogen,0.0909,273
5,Root,WT,Cold,-0.0255,273
5,Root,WT,FeDeficiency,0.0281,273
5,Root,WT,Herbicide,0.0246,273
5,Root,WT,UV,-0.0763,273
5,Root,WT,Wounding,0.0986,273
5,Root,WT,Genotoxic,0.0772,273
5,Root,WT,Drought.Light,-0.0003,273
5,Root,WT,Radiation,-0.0011,273
5,Root,A68,Drought,0.1666,273
5,Root,A68,Hypoxia,0.311,273
5,Root,A68,Heat,0.0083,273
5,Root,A68,Biotic,-0.1144,273
5,Root,A68,Osmotic,0.1271,273
5,Root,A68,Salt,0.1432,273
5,Root,A68,Biotic.Hormone,-0.0456,273
5,Root,A68,Hormone,0.1682,273
5,Root,A68,Light,0.0999,273
5,Root,A68,FarRed,0.0282,273
5,Root,A68,LowPH,0.1346,273
5,Root,A68,Nitrogen,-0.0215,273
5,Root,A68,Cold,0.2148,273
5,Root,A68,FeDeficiency,0.1401,273
5,Root,A68,Herbicide,0.03,273
5,Root,A68,UV,-0.042,273
5,Root,A68,Wounding,0.0691,273
5,Root,A68,Genotoxic,0.0474,273
5,Root,A68,Drought.Light,0.1586,273
5,Root,A68,Radiation,0.0484,273
5,Root,D130,Drought,-0.0169,273
5,Root,D130,Hypoxia,0.0257,273
5,Root,D130,Heat,0.0024,273
5,Root,D130,Biotic,-0.0059,273
5,Root,D130,Osmotic,-0.0003,273
5,Root,D130,Salt,-0.0805,273
5,Root,D130,Biotic.Hormone,0.0421,273
5,Root,D130,Hormone,0.0662,273
5,Root,D130,Light,0.0155,273
5,Root,D130,FarRed,-0.0348,273
5,Root,D130,LowPH,0.0037,273
5,Root,D130,Nitrogen,-0.0704,273
5,Root,D130,Cold,-0.0107,273
5,Root,D130,FeDeficiency,-0.0354,273
5,Root,D130,Herbicide,-0.0501,273
5,Root,D130,UV,-0.0527,273
5,Root,D130,Wounding,0.0697,273
5,Root,D130,Genotoxic,0.0858,273
5,Root,D130,Drought.Light,0.0732,273
5,Root,D130,Radiation,0.0343,273
6,Root,WT,Drought,0.0041,644
6,Root,WT,Hypoxia,0.0106,644
6,Root,WT,Heat,0.0113,644
6,Root,WT,Biotic,0.1186,644
6,Root,WT,Osmotic,0.0973,644
6,Root,WT,Salt,0.0561,644
6,Root,WT,Biotic.Hormone,0.1139,644
6,Root,WT,Hormone,0.0923,644
6,Root,WT,Light,0.0357,644
6,Root,WT,FarRed,0.0831,644
6,Root,WT,LowPH,0.0261,644
6,Root,WT,Nitrogen,0.0006,644
6,Root,WT,Cold,-0.0221,644
6,Root,WT,FeDeficiency,-0.0105,644
6,Root,WT,Herbicide,0.0049,644
6,Root,WT,UV,0.1983,644
6,Root,WT,Wounding,0.1142,644
6,Root,WT,Genotoxic,0.1907,644
6,Root,WT,Drought.Light,0.0155,644
6,Root,WT,Radiation,0.0371,644
6,Root,A68,Drought,0.0549,644
6,Root,A68,Hypoxia,0.0843,644
6,Root,A68,Heat,0.0506,644
6,Root,A68,Biotic,0.0433,644
6,Root,A68,Osmotic,0.0782,644
6,Root,A68,Salt,0.0308,644
6,Root,A68,Biotic.Hormone,0.0362,644
6,Root,A68,Hormone,0.126,644
6,Root,A68,Light,0.0036,644
6,Root,A68,FarRed,0.0026,644
6,Root,A68,LowPH,0.0038,644
6,Root,A68,Nitrogen,0.0474,644
6,Root,A68,Cold,0.0829,644
6,Root,A68,FeDeficiency,-0.0176,644
6,Root,A68,Herbicide,-0.0564,644
6,Root,A68,UV,0.0967,644
6,Root,A68,Wounding,0.1583,644
6,Root,A68,Genotoxic,-0.0101,644
6,Root,A68,Drought.Light,0.0335,644
6,Root,A68,Radiation,-0.0829,644
6,Root,D130,Drought,0.0651,644
6,Root,D130,Hypoxia,0.0563,644
6,Root,D130,Heat,0.0461,644
6,Root,D130,Biotic,0.023,644
6,Root,D130,Osmotic,0.0622,644
6,Root,D130,Salt,0.0221,644
6,Root,D130,Biotic.Hormone,0.0084,644
6,Root,D130,Hormone,0.0591,644
6,Root,D130,Light,-0.0234,644
6,Root,D130,FarRed,-0.0141,644
6,Root,D130,LowPH,0.0392,644
6,Root,D130,Nitrogen,-0.0384,644
6,Root,D130,Cold,0.0096,644
6,Root,D130,FeDeficiency,-0.0623,644
6,Root,D130,Herbicide,-0.0696,644
6,Root,D130,UV,0.0704,644
6,Root,D130,Wounding,0.0792,644
6,Root,D130,Genotoxic,-0.0262,644
6,Root,D130,Drought.Light,0.0311,644
6,Root,D130,Radiation,-0.0895,644
7,Shoot,WT,Drought,0.0666,382
7,Shoot,WT,Hypoxia,0.057,382
7,Shoot,WT,Heat,-0.0489,382
7,Shoot,WT,Biotic,0.1804,382
7,Shoot,WT,Osmotic,0.0359,382
7,Shoot,WT,Salt,0.0511,382
7,Shoot,WT,Biotic.Hormone,0.1783,382
7,Shoot,WT,Hormone,0.1086,382
7,Shoot,WT,Light,-0.1057,382
7,Shoot,WT,FarRed,-0.0849,382
7,Shoot,WT,LowPH,0.0658,382
7,Shoot,WT,Nitrogen,0.1397,382
7,Shoot,WT,Cold,0.1055,382
7,Shoot,WT,FeDeficiency,0.0804,382
7,Shoot,WT,Herbicide,0.0,382
7,Shoot,WT,UV,0.0396,382
7,Shoot,WT,Wounding,0.0394,382
7,Shoot,WT,Genotoxic,0.0624,382
7,Shoot,WT,Drought.Light,0.0401,382
7,Shoot,WT,Radiation,0.069,382
7,Shoot,A68,Drought,-0.0094,382
7,Shoot,A68,Hypoxia,0.2209,382
7,Shoot,A68,Heat,0.1493,382
7,Shoot,A68,Biotic,-0.1323,382
7,Shoot,A68,Osmotic,-0.0329,382
7,Shoot,A68,Salt,0.0077,382
7,Shoot,A68,Biotic.Hormone,-0.1489,382
7,Shoot,A68,Hormone,-0.0137,382
7,Shoot,A68,Light,0.207,382
7,Shoot,A68,FarRed,0.0094,382
7,Shoot,A68,LowPH,0.1715,382
7,Shoot,A68,Nitrogen,0.1087,382
7,Shoot,A68,Cold,0.0088,382
7,Shoot,A68,FeDeficiency,-0.0025,382
7,Shoot,A68,Herbicide,-0.0292,382
7,Shoot,A68,UV,0.1741,382
7,Shoot,A68,Wounding,0.0408,382
7,Shoot,A68,Genotoxic,-0.059,382
7,Shoot,A68,Drought.Light,0.0811,382
7,Shoot,A68,Radiation,-0.0633,382
7,Shoot,D130,Drought,0.0664,382
7,Shoot,D130,Hypoxia,0.0787,382
7,Shoot,D130,Heat,-0.0293,382
7,Shoot,D130,Biotic,0.0588,382
7,Shoot,D130,Osmotic,-0.0326,382
7,Shoot,D130,Salt,-0.0918,382
7,Shoot,D130,Biotic.Hormone,0.0286,382
7,Shoot,D130,Hormone,0.0067,382
7,Shoot,D130,Light,-0.1772,382
7,Shoot,D130,FarRed,0.045,382
7,Shoot,D130,LowPH,-0.019,382
7,Shoot,D130,Nitrogen,-0.0147,382
7,Shoot,D130,Cold,0.0021,382
7,Shoot,D130,FeDeficiency,-0.026,382
7,Shoot,D130,Herbicide,0.0324,382
7,Shoot,D130,UV,-0.1304,382
7,Shoot,D130,Wounding,0.0034,382
7,Shoot,D130,Genotoxic,0.0111,382
7,Shoot,D130,Drought.Light,-0.0165,382
7,Shoot,D130,Radiation,-0.0203,382
8,Shoot,WT,Drought,0.1538,46
8,Shoot,WT,Hypoxia,0.1054,46
8,Shoot,WT,Heat,0.044,46
8,Shoot,WT,Biotic,0.1218,46
8,Shoot,WT,Osmotic,0.2604,46
8,Shoot,WT,Salt,0.0296,46
8,Shoot,WT,Biotic.Hormone,0.063,46
8,Shoot,WT,Hormone,0.1926,46
8,Shoot,WT,Light,-0.3828,46
8,Shoot,WT,FarRed,0.1367,46
8,Shoot,WT,LowPH,0.1144,46
8,Shoot,WT,Nitrogen,0.3633,46
8,Shoot,WT,Cold,-0.2586,46
8,Shoot,WT,FeDeficiency,0.1936,46
8,Shoot,WT,Herbicide,-0.0399,46
8,Shoot,WT,UV,0.1998,46
8,Shoot,WT,Wounding,-0.0125,46
8,Shoot,WT,Genotoxic,0.3581,46
8,Shoot,WT,Drought.Light,-0.1667,46
8,Shoot,WT,Radiation,0.075,46
8,Shoot,A68,Drought,-0.0971,46
8,Shoot,A68,Hypoxia,0.2864,46
8,Shoot,A68,Heat,0.1379,46
8,Shoot,A68,Biotic,-0.0754,46
8,Shoot,A68,Osmotic,-0.0429,46
8,Shoot,A68,Salt,-0.1158,46
8,Shoot,A68,Biotic.Hormone,-0.0213,46
8,Shoot,A68,Hormone,-0.1653,46
8,Shoot,A68,Light,-0.1865,46
8,Shoot,A68,FarRed,0.2033,46
8,Shoot,A68,LowPH,-0.0936,46
8,Shoot,A68,Nitrogen,0.183,46
8,Shoot,A68,Cold,-0.0387,46
8,Shoot,A68,FeDeficiency,0.0212,46
8,Shoot,A68,Herbicide,-0.1657,46
8,Shoot,A68,UV,-0.2344,46
8,Shoot,A68,Wounding,-0.1134,46
8,Shoot,A68,Genotoxic,0.1262,46
8,Shoot,A68,Drought.Light,-0.3027,46
8,Shoot,A68,Radiation,0.1687,46
8,Shoot,D130,Drought,-0.0028,46
8,Shoot,D130,Hypoxia,0.2701,46
8,Shoot,D130,Heat,0.3588,46
8,Shoot,D130,Biotic,0.1355,46
8,Shoot,D130,Osmotic,0.1063,46
8,Shoot,D130,Salt,-0.0372,46
8,Shoot,D130,Biotic.Hormone,-0.1168,46
8,Shoot,D130,Hormone,0.1125,46
8,Shoot,D130,Light,-0.4369,46
8,Shoot,D130,FarRed,0.2057,46
8,Shoot,D130,LowPH,0.1568,46
8,Shoot,D130,Nitrogen,0.1499,46
8,Shoot,D130,Cold,-0.2832,46
8,Shoot,D130,FeDeficiency,0.1028,46
8,Shoot,D130,Herbicide,-0.113,46
8,Shoot,D130,UV,-0.0868,46
8,Shoot,D130,Wounding,0.0046,46
8,Shoot,D130,Genotoxic,0.1568,46
8,Shoot,D130,Drought.Light,-0.3217,46
8,Shoot,D130,Radiation,0.0326,46
9,Root,WT,Drought,-0.0218,349
9,Root,WT,Hypoxia,-0.0696,349
9,Root,WT,Heat,-0.1423,349
9,Root,WT,Biotic,0.0321,349
9,Root,WT,Osmotic,0.0044,349
9,Root,WT,Salt,-0.2647,349
9,Root,WT,Biotic.Hormone,0.0869,349
9,Root,WT,Hormone,-0.1012,349
9,Root,WT,Light,-0.1137,349
9,Root,WT,FarRed,0.1477,349
9,Root,WT,LowPH,-0.3403,349
9,Root,WT,Nitrogen,-0.0885,349
9,Root,WT,Cold,0.0041,349
9,Root,WT,FeDeficiency,-0.0686,349
9,Root,WT,Herbicide,0.0514,349
9,Root,WT,UV,-0.0364,349
9,Root,WT,Wounding,0.1395,349
9,Root,WT,Genotoxic,0.101,349
9,Root,WT,Drought.Light,0.0185,349
9,Root,WT,Radiation,0.0801,349
9,Root,A68,Drought,0.1374,349
9,Root,A68,Hypoxia,0.4093,349
9,Root,A68,Heat,-0.0126,349
9,Root,A68,Biotic,0.1091,349
9,Root,A68,Osmotic,0.262,349
9,Root,A68,Salt,0.2757,349
9,Root,A68,Biotic.Hormone,0.1714,349
9,Root,A68,Hormone,0.226,349
9,Root,A68,Light,-0.0424,349
9,Root,A68,FarRed,0.0122,349
9,Root,A68,LowPH,0.1862,349
9,Root,A68,Nitrogen,0.1232,349
9,Root,A68,Cold,0.1203,349
9,Root,A68,FeDeficiency,0.3151,349
9,Root,A68,Herbicide,0.1424,349
9,Root,A68,UV,0.0626,349
9,Root,A68,Wounding,0.0653,349
9,Root,A68,Genotoxic,0.1333,349
9,Root,A68,Drought.Light,0.0833,349
9,Root,A68,Radiation,0.1365,349
9,Root,D130,Drought,0.0961,349
9,Root,D130,Hypoxia,0.1128,349
9,Root,D130,Heat,0.0357,349
9,Root,D130,Biotic,0.2748,349
9,Root,D130,Osmotic,0.1737,349
9,Root,D130,Salt,0.0964,349
9,Root,D130,Biotic.Hormone,0.1216,349
9,Root,D130,Hormone,0.0606,349
9,Root,D130,Light,0.0102,349
9,Root,D130,FarRed,0.0234,349
9,Root,D130,LowPH,0.0597,349
9,Root,D130,Nitrogen,-0.0265,349
9,Root,D130,Cold,0.0525,349
9,Root,D130,FeDeficiency,0.0986,349
9,Root,D130,Herbicide,0.095,349
9,Root,D130,UV,0.1824,349
9,Root,D130,Wounding,0.1213,349
9,Root,D130,Genotoxic,0.128,349
9,Root,D130,Drought.Light,0.026,349
9,Root,D130,Radiation,0.1374,349
10,Shoot,WT,Drought,0.1525,1089
10,Shoot,WT,Hypoxia,0.0331,1089
10,Shoot,WT,Heat,0.0427,1089
10,Shoot,WT,Biotic,0.1646,1089
10,Shoot,WT,Osmotic,0.1513,1089
10,Shoot,WT,Salt,0.0754,1089
10,Shoot,WT,Biotic.Hormone,0.1512,1089
10,Shoot,WT,Hormone,0.1922,1089
10,Shoot,WT,Light,0.0097,1089
10,Shoot,WT,FarRed,-0.0189,1089
10,Shoot,WT,LowPH,0.0435,1089
10,Shoot,WT,Nitrogen,0.1416,1089
10,Shoot,WT,Cold,0.1271,1089
10,Shoot,WT,FeDeficiency,0.0146,1089
10,Shoot,WT,Herbicide,0.0012,1089
10,Shoot,WT,UV,0.0714,1089
10,Shoot,WT,Wounding,0.1354,1089
10,Shoot,WT,Genotoxic,0.0247,1089
10,Shoot,WT,Drought.Light,0.0534,1089
10,Shoot,WT,Radiation,0.0015,1089
10,Shoot,A68,Drought,-0.1124,1089
10,Shoot,A68,Hypoxia,0.1004,1089
10,Shoot,A68,Heat,0.1017,1089
10,Shoot,A68,Biotic,-0.1535,1089
10,Shoot,A68,Osmotic,-0.1077,1089
10,Shoot,A68,Salt,-0.0542,1089
10,Shoot,A68,Biotic.Hormone,-0.1481,1089
10,Shoot,A68,Hormone,-0.0509,1089
10,Shoot,A68,Light,0.1374,1089
10,Shoot,A68,FarRed,-0.0894,1089
10,Shoot,A68,LowPH,0.1746,1089
10,Shoot,A68,Nitrogen,0.0425,1089
10,Shoot,A68,Cold,-0.1735,1089
10,Shoot,A68,FeDeficiency,-0.0111,1089
10,Shoot,A68,Herbicide,-0.074,1089
10,Shoot,A68,UV,0.0895,1089
10,Shoot,A68,Wounding,-0.1035,1089
10,Shoot,A68,Genotoxic,-0.1278,1089
10,Shoot,A68,Drought.Light,0.0554,1089
10,Shoot,A68,Radiation,-0.117,1089
10,Shoot,D130,Drought,0.1713,1089
10,Shoot,D130,Hypoxia,0.0016,1089
10,Shoot,D130,Heat,0.0047,1089
10,Shoot,D130,Biotic,0.148,1089
