"","A68_Root_FlightVsGround","A68_Shoot_FlightVsGround","D130_Root_FlightVsGround","D130_Shoot_FlightVsGround","WT_Root_FlightVsGround","WT_Shoot_FlightVsGround"
"Biotic",0.35054904314667,-0.204920203375468,0.34355801143987,-0.019101758350399,0.596109031848033,0.48207224066097
"UV",-0.242805945907775,0.160546571569804,-0.222062354353506,0.076521785184662,-0.289245109808629,-0.00453710896123161
"Drought",0.177538662523833,-0.139317491702563,0.180787020690629,0.128592613515995,0.0212467339877127,0.0446649247934467
"Biotic.Drought",0.195254572417202,-0.20026834263117,0.182331756231904,0.0542687663300614,0.0584792740625661,0.0176629475319539
"Biotic.Biotic",-0.250635548336982,-0.422189464020903,-0.0826742461690558,-0.104989054445307,0.1703181272509,0.172260080502789
"Drought.Biotic",-0.35069910317068,-0.198856012993433,-0.204487677423911,0.0322717322223007,-0.116234729185792,-0.0224295600593178
"Hormone",0.333503989831227,-0.242355765835746,0.220676505896476,-0.260257043994068,0.357707788997952,0.0350257750158887
