"","A68_Root_FlightVsGround","A68_Shoot_FlightVsGround","D130_Root_FlightVsGround","D130_Shoot_FlightVsGround","WT_Root_FlightVsGround","WT_Shoot_FlightVsGround"
"DrouSaTic",0.391924235361612,-0.0846346229696296,0.393555702965327,0.0497687260210118,0.42344203807953,0.405312130230557
"Hypoxia",0.354046398221521,0.0888208612714689,0.345884578149091,-0.0374699702391624,0.407315608304349,0.176386747463158
"Heat",0.186283122377999,0.126510452149593,0.148199110760515,0.0919538169170642,0.0486751048800602,0.300015238983112
"BioMone",0.343881100075299,-0.169237871562265,0.341801427085948,0.0773423213453333,0.577916024238947,0.446296030693105
"LighUV",0.187488794865359,-0.0549813546559575,0.141964573846319,-0.317849331277565,0.265059700957367,0.289173150704579
"FarRed",0.626124995517946,-0.19660977446305,0.528286241887483,-0.143107497579691,0.692230807845387,-0.0834603248592635
"LowPH",-0.0544479902470508,0.319785578543512,0.0345745634479544,0.105108644985478,-0.304008748969128,0.404415719459285
"Nitrogen",0.0623139947649611,-0.0352110150955574,0.0254939223349708,-0.127348596220732,0.249188748251999,0.347731184337911
"Cold",0.0321497723116642,-0.267663774247911,0.0694897629889921,-0.0974712252142422,0.189505719100721,0.18859586216788
"FeDeficiency",0.17903115923841,0.024709562910108,0.094185879737531,0.0366856108142994,0.106717702319911,0.186336907024275
"Herbicide",0.130477069812471,-0.13490982107641,0.15983900462548,-0.134721574814443,0.336378141919753,0.107658933629746
"Wounding",0.513970561870271,-0.265162788196063,0.435072967836782,-0.21628150883861,0.722690845853204,0.200311950948403
"Genotoxic",0.648459069884184,-0.151497902398795,0.55114919860877,-0.171608878052279,0.725209760120478,0.104328767614472
"Drought.Light",0.559584423966438,-0.164545161174657,0.513809207931442,-0.180407149772312,0.57088368173832,0.146056689017175
"Radiation",0.35732277959052,0.0233963211301946,0.310655634838108,0.0719593746638461,0.47784072573416,0.215591272544731
